id,q,doc,max_rank,known_failure,lex_rank,dense_rank,fused_rank,lex_pass,dense_pass,fused_pass,lex_top5,fused_top5
q014,does an internal service page anyone overnight,docs/reference-deployment-tiers.md,2,0,1,4,1,1,0,1,docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/policy-data-retention.md|docs/guide-oncall-rota.md|docs/postmortem-checkout-outage.md,docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/postmortem-checkout-outage.md|docs/guide-oncall-rota.md|docs/policy-data-retention.md
q015,what is the current decision for east west traffic,docs/adr-0019-calder-gateway.md,1,0,2,4,2,0,0,0,docs/adr-0007-helix-mesh.md|docs/adr-0019-calder-gateway.md|docs/postmortem-checkout-outage.md|docs/guide-oncall-rota.md|docs/runbook-gateway-rollback.md,docs/adr-0007-helix-mesh.md|docs/adr-0019-calder-gateway.md|docs/reference-deployment-tiers.md|docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md
q016,which proxy do we run between services today,docs/adr-0019-calder-gateway.md,1,0,6,3,4,0,0,0,docs/guide-oncall-rota.md|docs/adr-0007-helix-mesh.md|docs/runbook-gateway-rollback.md|docs/guide-onboarding.md|docs/runbook-mesh-rollback-legacy.md,docs/guide-oncall-rota.md|docs/guide-onboarding.md|docs/runbook-gateway-rollback.md|docs/adr-0019-calder-gateway.md|docs/reference-deployment-tiers.md
q017,why did we move away from sidecars,docs/adr-0019-calder-gateway.md,1,0,3,1,2,0,1,0,docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md|docs/reference-deployment-tiers.md|docs/runbook-mesh-rollback-legacy.md,docs/adr-0007-helix-mesh.md|docs/adr-0019-calder-gateway.md|docs/reference-deployment-tiers.md|docs/postmortem-checkout-outage.md|docs/runbook-mesh-rollback-legacy.md
q018,how much memory did the sidecar actually use,docs/adr-0019-calder-gateway.md,1,0,3,1,1,0,1,1,docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md|docs/adr-0019-calder-gateway.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md,docs/adr-0019-calder-gateway.md|docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md
q019,is helix mesh still in use anywhere,docs/adr-0019-calder-gateway.md,2,1,6,2,4,0,1,0,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/adr-0007-helix-mesh.md|docs/policy-data-retention.md|docs/postmortem-checkout-outage.md,docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/adr-0019-calder-gateway.md|docs/postmortem-checkout-outage.md
q020,which rollback do I use for a tier that has not migrated,docs/runbook-mesh-rollback-legacy.md,1,0,2,2,2,0,0,0,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-onboarding.md|docs/adr-0007-helix-mesh.md|docs/adr-0019-calder-gateway.md,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-onboarding.md|docs/guide-oncall-rota.md|docs/reference-deployment-tiers.md
q021,why is the soak fourteen days now instead of two,docs/reference-deployment-tiers.md,2,0,2,1,1,1,1,1,docs/adr-0019-calder-gateway.md|docs/reference-deployment-tiers.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-onboarding.md,docs/reference-deployment-tiers.md|docs/postmortem-checkout-outage.md|docs/runbook-gateway-rollback.md|docs/guide-onboarding.md|docs/adr-0019-calder-gateway.md
q022,can I start new work against helix mesh,docs/adr-0007-helix-mesh.md,1,0,1,1,1,1,1,1,docs/adr-0007-helix-mesh.md|docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md,docs/adr-0007-helix-mesh.md|docs/adr-0019-calder-gateway.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/runbook-mesh-rollback-legacy.md
q023,what max surge should I use rolling back the node proxy,docs/runbook-gateway-rollback.md,1,0,1,2,1,1,0,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md,docs/runbook-gateway-rollback.md|docs/reference-calderctl.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-onboarding.md|docs/adr-0019-calder-gateway.md
q024,what max surge for a sidecar rollback,docs/runbook-mesh-rollback-legacy.md,1,0,1,1,1,1,1,1,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md
q025,verify per node after rolling back,docs/runbook-gateway-rollback.md,1,0,1,1,1,1,1,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/reference-deployment-tiers.md|docs/postmortem-checkout-outage.md,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md|docs/reference-deployment-tiers.md
q026,verify per service after rolling back,docs/runbook-mesh-rollback-legacy.md,1,0,2,6,3,0,0,0,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-deployment-tiers.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md,docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-deployment-tiers.md|docs/guide-onboarding.md
q027,the rollback failed should I try it again,docs/postmortem-checkout-outage.md,3,0,4,3,3,0,1,1,docs/reference-calderctl.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md|docs/guide-onboarding.md,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md|docs/guide-onboarding.md|docs/reference-calderctl.md
q028,how long does a gateway rollback take,docs/runbook-gateway-rollback.md,1,1,4,2,2,0,0,0,docs/reference-deployment-tiers.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md|docs/runbook-gateway-rollback.md|docs/guide-onboarding.md,docs/reference-deployment-tiers.md|docs/runbook-gateway-rollback.md|docs/guide-oncall-rota.md|docs/reference-calderctl.md|docs/guide-onboarding.md
q029,how long does a mesh rollback take,docs/runbook-mesh-rollback-legacy.md,1,1,7,2,5,0,0,0,docs/reference-calderctl.md|docs/reference-deployment-tiers.md|docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md,docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md|docs/reference-calderctl.md|docs/reference-deployment-tiers.md|docs/runbook-mesh-rollback-legacy.md
q030,pods skipped silently during a rollback,docs/runbook-mesh-rollback-legacy.md,2,0,2,1,2,1,1,1,docs/postmortem-checkout-outage.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-deployment-tiers.md|docs/runbook-gateway-rollback.md|docs/guide-oncall-rota.md,docs/postmortem-checkout-outage.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/guide-oncall-rota.md|docs/reference-deployment-tiers.md
q031,is the legacy runbook still valid,docs/runbook-mesh-rollback-legacy.md,2,0,1,1,1,1,1,1,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md
q032,does the superseded networking ADR still apply anywhere,docs/adr-0007-helix-mesh.md,2,0,4,1,2,0,1,1,docs/adr-0019-calder-gateway.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/adr-0007-helix-mesh.md|docs/runbook-gateway-rollback.md,docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md|docs/runbook-gateway-rollback.md
q033,why keep a superseded record in the repository,docs/adr-0007-helix-mesh.md,1,0,1,6,3,1,0,0,docs/adr-0007-helix-mesh.md|docs/policy-data-retention.md|docs/reference-deployment-tiers.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0019-calder-gateway.md,docs/policy-data-retention.md|docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/runbook-mesh-rollback-legacy.md
q034,my alert paged at 3am but my service is internal,docs/guide-oncall-rota.md,2,1,4,3,4,0,0,0,docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/policy-data-retention.md|docs/guide-oncall-rota.md|docs/postmortem-checkout-outage.md,docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/postmortem-checkout-outage.md|docs/guide-oncall-rota.md|docs/policy-data-retention.md
q035,I added a retry and things got worse,docs/guide-onboarding.md,1,1,2,1,1,0,1,1,docs/guide-oncall-rota.md|docs/guide-onboarding.md|docs/adr-0019-calder-gateway.md|docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md,docs/guide-onboarding.md|docs/guide-oncall-rota.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/runbook-gateway-rollback.md
q036,who approves a change to the revenue path,docs/reference-deployment-tiers.md,1,0,1,1,1,1,1,1,docs/reference-deployment-tiers.md|docs/guide-oncall-rota.md|docs/guide-onboarding.md|docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md,docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md|docs/guide-oncall-rota.md|docs/adr-0019-calder-gateway.md|docs/guide-onboarding.md
q037,what does the incident lead actually do,docs/guide-oncall-rota.md,1,0,1,2,1,1,0,1,docs/guide-oncall-rota.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md,docs/guide-oncall-rota.md|docs/reference-deployment-tiers.md|docs/postmortem-checkout-outage.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md
q038,where do I record my service data class,docs/guide-onboarding.md,2,0,2,1,1,1,1,1,docs/policy-data-retention.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md|docs/reference-calderctl.md,docs/guide-onboarding.md|docs/policy-data-retention.md|docs/reference-calderctl.md|docs/reference-deployment-tiers.md|docs/guide-oncall-rota.md
q039,what happens if I never state a classification,docs/policy-data-retention.md,2,0,1,3,2,1,0,1,docs/policy-data-retention.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/adr-0019-calder-gateway.md|docs/guide-oncall-rota.md,docs/guide-onboarding.md|docs/policy-data-retention.md|docs/reference-deployment-tiers.md|docs/reference-calderctl.md|docs/runbook-mesh-rollback-legacy.md
q040,how long are backups kept,docs/policy-data-retention.md,1,0,1,1,1,1,1,1,docs/policy-data-retention.md|docs/guide-onboarding.md,docs/policy-data-retention.md|docs/guide-onboarding.md|docs/postmortem-checkout-outage.md|docs/guide-oncall-rota.md|docs/reference-deployment-tiers.md
q041,can I delete a customer record out of the backups,docs/policy-data-retention.md,1,0,1,1,1,1,1,1,docs/policy-data-retention.md|docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/guide-onboarding.md,docs/policy-data-retention.md|docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md
q042,why is having two rollback procedures dangerous,docs/adr-0019-calder-gateway.md,2,0,2,6,4,1,0,0,docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md,docs/postmortem-checkout-outage.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/adr-0019-calder-gateway.md|docs/reference-calderctl.md
q043,we had a different retry policy in every service,docs/adr-0007-helix-mesh.md,1,0,2,1,1,0,1,1,docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md|docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/runbook-gateway-rollback.md,docs/adr-0007-helix-mesh.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/postmortem-checkout-outage.md|docs/runbook-gateway-rollback.md
q044,why not use ebpf instead of a proxy,docs/adr-0019-calder-gateway.md,1,1,3,1,1,0,1,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0019-calder-gateway.md|docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md,docs/adr-0019-calder-gateway.md|docs/runbook-gateway-rollback.md|docs/guide-onboarding.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md
q045,what is the cheapest tier to start on,docs/guide-onboarding.md,2,0,1,2,1,1,1,1,docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md,docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0007-helix-mesh.md
q046,how do we stop a slow dependency taking down checkout,docs/adr-0007-helix-mesh.md,2,0,1,8,5,1,0,0,docs/adr-0007-helix-mesh.md|docs/guide-onboarding.md|docs/postmortem-checkout-outage.md|docs/reference-deployment-tiers.md|docs/guide-oncall-rota.md,docs/postmortem-checkout-outage.md|docs/guide-oncall-rota.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md
q047,blast radius of a bad config push,docs/adr-0019-calder-gateway.md,1,0,1,1,1,1,1,1,docs/adr-0019-calder-gateway.md|docs/runbook-gateway-rollback.md|docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-oncall-rota.md,docs/adr-0019-calder-gateway.md|docs/runbook-gateway-rollback.md|docs/guide-oncall-rota.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0007-helix-mesh.md
q048,how do I tell if someone else is mid incident before I deploy,docs/reference-calderctl.md,2,0,2,8,6,1,0,0,docs/guide-oncall-rota.md|docs/reference-calderctl.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/runbook-gateway-rollback.md,docs/reference-deployment-tiers.md|docs/guide-oncall-rota.md|docs/runbook-gateway-rollback.md|docs/guide-onboarding.md|docs/runbook-mesh-rollback-legacy.md
q049,what did we promise to fix after the outage and did we,docs/postmortem-checkout-outage.md,1,0,2,1,1,0,1,1,docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/reference-deployment-tiers.md|docs/guide-oncall-rota.md|docs/guide-onboarding.md,docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md|docs/guide-oncall-rota.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md
q050,a hazard we wrote down but never actually fixed,docs/postmortem-checkout-outage.md,2,0,3,1,1,0,1,1,docs/guide-oncall-rota.md|docs/reference-deployment-tiers.md|docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md|docs/policy-data-retention.md,docs/postmortem-checkout-outage.md|docs/guide-oncall-rota.md|docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md|docs/policy-data-retention.md
