id,q,doc,max_rank,known_failure,expand,base_rank,expand_rank,base_pass,expand_pass,base_top5,expand_top5
q022,can I start new work against helix mesh,docs/adr-0007-helix-mesh.md,1,0,superseded ADR-0007 do not start new work removed from all tiers ADR-0019 Calder Gateway citations,1,1,1,1,docs/adr-0007-helix-mesh.md|docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md,docs/adr-0007-helix-mesh.md|docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/adr-0019-calder-gateway.md|docs/postmortem-checkout-outage.md
q023,what max surge should I use rolling back the node proxy,docs/runbook-gateway-rollback.md,1,0,calderctl gateway rollback --max-surge 1 not optional per node capacity workloads previous-release verify,1,1,1,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md|docs/postmortem-checkout-outage.md
q024,what max surge for a sidecar rollback,docs/runbook-mesh-rollback-legacy.md,1,0,calderctl mesh rollback --max-surge 25% tuned default per-pod quarter fleet capacity legacy Helix,1,1,1,1,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md,docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/runbook-gateway-rollback.md|docs/adr-0019-calder-gateway.md|docs/postmortem-checkout-outage.md
q025,verify per node after rolling back,docs/runbook-gateway-rollback.md,1,0,calderctl gateway --per-node aggregate health hides bad node table tier unfreeze error rate,1,1,1,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/reference-deployment-tiers.md|docs/postmortem-checkout-outage.md,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md|docs/reference-deployment-tiers.md
q026,verify per service after rolling back,docs/runbook-mesh-rollback-legacy.md,1,0,calderctl mesh --per-service aggregate health hides bad service table tier unfreeze legacy sidecar,2,1,0,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-deployment-tiers.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md|docs/reference-deployment-tiers.md|docs/reference-calderctl.md
q027,the rollback failed should I try it again,docs/postmortem-checkout-outage.md,3,0,escalate immediately do not retry second attempt state tooling does not model page platform networking lead,4,4,0,0,docs/reference-calderctl.md|docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/postmortem-checkout-outage.md|docs/guide-onboarding.md,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-oncall-rota.md|docs/postmortem-checkout-outage.md|docs/guide-onboarding.md
q028,how long does a gateway rollback take,docs/runbook-gateway-rollback.md,1,1,expected duration 8-12 minutes one tier active incident severity Calder release runbook per-node,4,1,0,1,docs/reference-deployment-tiers.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md|docs/runbook-gateway-rollback.md|docs/guide-onboarding.md,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md
q029,how long does a mesh rollback take,docs/runbook-mesh-rollback-legacy.md,1,1,expected duration 10-15 minutes one tier active incident legacy Helix release runbook per-service,7,1,0,1,docs/reference-calderctl.md|docs/reference-deployment-tiers.md|docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md,docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md|docs/runbook-gateway-rollback.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md
q030,pods skipped silently during a rollback,docs/runbook-mesh-rollback-legacy.md,2,0,known gaps sidecar injection failure found by hand afterwards legacy mesh runbook no dry-run mode,2,1,1,1,docs/postmortem-checkout-outage.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-deployment-tiers.md|docs/runbook-gateway-rollback.md|docs/guide-oncall-rota.md,docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md|docs/runbook-gateway-rollback.md|docs/guide-oncall-rota.md|docs/reference-deployment-tiers.md
q031,is the legacy runbook still valid,docs/runbook-mesh-rollback-legacy.md,2,0,LEGACY applies only tiers still running Helix Mesh superseded ADR-0007 through 2026 tier 1 check first,1,1,1,1,docs/runbook-mesh-rollback-legacy.md|docs/runbook-gateway-rollback.md|docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md,docs/runbook-mesh-rollback-legacy.md|docs/adr-0019-calder-gateway.md|docs/reference-calderctl.md|docs/adr-0007-helix-mesh.md|docs/runbook-gateway-rollback.md
q032,does the superseded networking ADR still apply anywhere,docs/adr-0007-helix-mesh.md,2,0,ADR-0007 Helix Mesh superseded by ADR-0019 removed all tiers record stays runbooks postmortems citations,4,2,0,1,docs/adr-0019-calder-gateway.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/adr-0007-helix-mesh.md|docs/runbook-gateway-rollback.md,docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md|docs/postmortem-checkout-outage.md
q033,why keep a superseded record in the repository,docs/adr-0007-helix-mesh.md,1,0,ADR-0007 Helix Mesh stays three runbooks two postmortems reference deleting leave citations dangling,1,1,1,1,docs/adr-0007-helix-mesh.md|docs/policy-data-retention.md|docs/reference-deployment-tiers.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0019-calder-gateway.md,docs/adr-0007-helix-mesh.md|docs/policy-data-retention.md|docs/adr-0019-calder-gateway.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md
q034,my alert paged at 3am but my service is internal,docs/guide-oncall-rota.md,2,1,tier 3 never pages 03:00 routing misconfiguration fix the routing do not normalise page policy,4,1,0,1,docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/policy-data-retention.md|docs/guide-oncall-rota.md|docs/postmortem-checkout-outage.md,docs/guide-oncall-rota.md|docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/policy-data-retention.md|docs/postmortem-checkout-outage.md
q035,I added a retry and things got worse,docs/guide-onboarding.md,1,1,onboarding application-level retry loop double retries slow dependency becomes outage traffic policy platform config,2,1,0,1,docs/guide-oncall-rota.md|docs/guide-onboarding.md|docs/adr-0019-calder-gateway.md|docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md,docs/guide-onboarding.md|docs/guide-oncall-rota.md|docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md
q036,who approves a change to the revenue path,docs/reference-deployment-tiers.md,1,0,tier 1 review requirements two reviewers one from SRE on-call service owner deployment tiers revenue,1,1,1,1,docs/reference-deployment-tiers.md|docs/guide-oncall-rota.md|docs/guide-onboarding.md|docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md,docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/guide-oncall-rota.md|docs/adr-0019-calder-gateway.md|docs/adr-0007-helix-mesh.md
q037,what does the incident lead actually do,docs/guide-oncall-rota.md,1,0,rotation coordination SEV1 SEV2 hold the timeline declare close handover escalate rota page,1,1,1,1,docs/guide-oncall-rota.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md,docs/guide-oncall-rota.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-onboarding.md|docs/postmortem-checkout-outage.md
q038,where do I record my service data class,docs/guide-onboarding.md,2,0,service-registry entry state your data classification onboarding registry encryption backup window tier,2,1,1,1,docs/policy-data-retention.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md|docs/reference-calderctl.md,docs/guide-onboarding.md|docs/policy-data-retention.md|docs/reference-deployment-tiers.md|docs/reference-calderctl.md|docs/adr-0007-helix-mesh.md
q039,what happens if I never state a classification,docs/policy-data-retention.md,2,0,treated as most sensitive class C3 payment binding retention encryption HSM per-tenant key policy,1,1,1,1,docs/policy-data-retention.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/adr-0019-calder-gateway.md|docs/guide-oncall-rota.md,docs/policy-data-retention.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/adr-0019-calder-gateway.md|docs/guide-oncall-rota.md
q040,how long are backups kept,docs/policy-data-retention.md,1,0,backup window 35 days retention expiry deletion request 30 days classes policy data,1,1,1,1,docs/policy-data-retention.md|docs/guide-onboarding.md,docs/policy-data-retention.md|docs/guide-onboarding.md
q041,can I delete a customer record out of the backups,docs/policy-data-retention.md,1,0,verified deletion request 30 days primary stores read replicas caches search indexes warehouses expiry surgical,1,1,1,1,docs/policy-data-retention.md|docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/guide-onboarding.md,docs/policy-data-retention.md|docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md|docs/guide-onboarding.md|docs/reference-calderctl.md
q042,why is having two rollback procedures dangerous,docs/adr-0019-calder-gateway.md,2,0,two rollback runbooks exist simultaneously most dangerous fact migration on-call check which applies ADR-0019,2,1,1,1,docs/reference-calderctl.md|docs/adr-0019-calder-gateway.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md,docs/adr-0019-calder-gateway.md|docs/reference-calderctl.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/postmortem-checkout-outage.md
q043,we had a different retry policy in every service,docs/adr-0007-helix-mesh.md,1,0,ADR-0007 context eleven distinct retry implementations client libraries timeout circuit breaker Helix Mesh sidecar,2,1,0,1,docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md|docs/reference-deployment-tiers.md|docs/guide-onboarding.md|docs/runbook-gateway-rollback.md,docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/adr-0019-calder-gateway.md|docs/guide-onboarding.md|docs/reference-calderctl.md
q044,why not use ebpf instead of a proxy,docs/adr-0019-calder-gateway.md,1,1,alternatives considered eBPF-based policy rejected maturity kernel floor 6.4 retry budgets reopen ADR-0019,3,1,0,1,docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0019-calder-gateway.md|docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md,docs/adr-0019-calder-gateway.md|docs/runbook-gateway-rollback.md|docs/runbook-mesh-rollback-legacy.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md
q045,what is the cheapest tier to start on,docs/guide-onboarding.md,2,0,most first services tier 3 choosing tier 1 two reviewers 14-day soak 24/7 page rotation onboarding regret,1,1,1,1,docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/reference-calderctl.md,docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/guide-oncall-rota.md
q046,how do we stop a slow dependency taking down checkout,docs/adr-0007-helix-mesh.md,2,0,retry timeout circuit-breaking policy budget platform config proxy already retrying multiplication outage onboarding,1,2,1,1,docs/adr-0007-helix-mesh.md|docs/guide-onboarding.md|docs/postmortem-checkout-outage.md|docs/reference-deployment-tiers.md|docs/guide-oncall-rota.md,docs/guide-onboarding.md|docs/adr-0007-helix-mesh.md|docs/adr-0019-calder-gateway.md|docs/reference-deployment-tiers.md|docs/guide-oncall-rota.md
q047,blast radius of a bad config push,docs/adr-0019-calder-gateway.md,1,0,moves from the pod to the node proxy every workload tiered rollout soak mitigation shared failure domain,1,1,1,1,docs/adr-0019-calder-gateway.md|docs/runbook-gateway-rollback.md|docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/guide-oncall-rota.md,docs/adr-0019-calder-gateway.md|docs/runbook-gateway-rollback.md|docs/adr-0007-helix-mesh.md|docs/runbook-mesh-rollback-legacy.md|docs/reference-calderctl.md
q048,how do I tell if someone else is mid incident before I deploy,docs/reference-calderctl.md,2,0,exit code 3 refused cluster is frozen freeze status --by-tier calderctl precondition mid-incident,2,1,1,1,docs/guide-oncall-rota.md|docs/reference-calderctl.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/runbook-gateway-rollback.md,docs/reference-calderctl.md|docs/guide-oncall-rota.md|docs/guide-onboarding.md|docs/reference-deployment-tiers.md|docs/runbook-mesh-rollback-legacy.md
q049,what did we promise to fix after the outage and did we,docs/postmortem-checkout-outage.md,1,0,postmortem actions owner status done not started injection hard error per-service verification dashboard dry-run,2,1,0,1,docs/adr-0007-helix-mesh.md|docs/postmortem-checkout-outage.md|docs/reference-deployment-tiers.md|docs/guide-oncall-rota.md|docs/guide-onboarding.md,docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md|docs/reference-deployment-tiers.md|docs/guide-oncall-rota.md|docs/runbook-mesh-rollback-legacy.md
q050,a hazard we wrote down but never actually fixed,docs/postmortem-checkout-outage.md,2,0,known gap eleven months not mitigated runbook Known gaps section action item lesson worth carrying,3,1,0,1,docs/guide-oncall-rota.md|docs/reference-deployment-tiers.md|docs/postmortem-checkout-outage.md|docs/adr-0007-helix-mesh.md|docs/policy-data-retention.md,docs/postmortem-checkout-outage.md|docs/guide-oncall-rota.md|docs/reference-deployment-tiers.md|docs/adr-0007-helix-mesh.md|docs/policy-data-retention.md
