id,query,golden_asserts,a1_relevant,a2_relevant,a1_n,a2_n,both_multi,exact_set_match,a1_conf,a2_conf
q014,does an internal service page anyone overnight,docs/reference-deployment-tiers.md,docs/guide-onboarding.md | docs/guide-oncall-rota.md | docs/reference-deployment-tiers.md,docs/guide-onboarding.md | docs/guide-oncall-rota.md | docs/reference-deployment-tiers.md,3,3,True,True,medium,medium
q015,what is the current decision for east west traffic,docs/adr-0019-calder-gateway.md,docs/adr-0019-calder-gateway.md,docs/adr-0019-calder-gateway.md,1,1,False,True,high,high
q016,which proxy do we run between services today,docs/adr-0019-calder-gateway.md,docs/adr-0019-calder-gateway.md | docs/guide-onboarding.md,docs/adr-0019-calder-gateway.md | docs/guide-onboarding.md,2,2,True,True,medium,medium
q017,why did we move away from sidecars,docs/adr-0019-calder-gateway.md,docs/adr-0019-calder-gateway.md,docs/adr-0019-calder-gateway.md,1,1,False,True,high,high
q018,how much memory did the sidecar actually use,docs/adr-0019-calder-gateway.md,docs/adr-0019-calder-gateway.md,docs/adr-0019-calder-gateway.md,1,1,False,True,high,high
q019,is helix mesh still in use anywhere,docs/adr-0019-calder-gateway.md,docs/adr-0019-calder-gateway.md | docs/runbook-mesh-rollback-legacy.md,docs/adr-0019-calder-gateway.md | docs/runbook-mesh-rollback-legacy.md,2,2,True,True,medium,medium
q020,which rollback do I use for a tier that has not migrated,docs/runbook-mesh-rollback-legacy.md,docs/runbook-gateway-rollback.md | docs/runbook-mesh-rollback-legacy.md,docs/adr-0019-calder-gateway.md | docs/runbook-gateway-rollback.md | docs/runbook-mesh-rollback-legacy.md,2,3,True,False,medium,medium
q021,why is the soak fourteen days now instead of two,docs/reference-deployment-tiers.md,docs/adr-0019-calder-gateway.md | docs/reference-deployment-tiers.md,docs/adr-0019-calder-gateway.md | docs/postmortem-checkout-outage.md | docs/reference-deployment-tiers.md,2,3,True,False,medium,medium
q022,can I start new work against helix mesh,docs/adr-0007-helix-mesh.md,docs/adr-0007-helix-mesh.md,docs/adr-0007-helix-mesh.md,1,1,False,True,high,high
q023,what max surge should I use rolling back the node proxy,docs/runbook-gateway-rollback.md,docs/reference-calderctl.md | docs/runbook-gateway-rollback.md,docs/reference-calderctl.md | docs/runbook-gateway-rollback.md,2,2,True,True,high,high
q024,what max surge for a sidecar rollback,docs/runbook-mesh-rollback-legacy.md,docs/reference-calderctl.md | docs/runbook-mesh-rollback-legacy.md,docs/reference-calderctl.md | docs/runbook-mesh-rollback-legacy.md,2,2,True,True,high,high
q025,verify per node after rolling back,docs/runbook-gateway-rollback.md,docs/reference-calderctl.md | docs/runbook-gateway-rollback.md,docs/reference-calderctl.md | docs/runbook-gateway-rollback.md,2,2,True,True,medium,medium
q026,verify per service after rolling back,docs/runbook-mesh-rollback-legacy.md,docs/reference-calderctl.md | docs/runbook-mesh-rollback-legacy.md,docs/reference-calderctl.md | docs/runbook-mesh-rollback-legacy.md,2,2,True,True,medium,medium
q027,the rollback failed should I try it again,docs/postmortem-checkout-outage.md,docs/runbook-gateway-rollback.md | docs/runbook-mesh-rollback-legacy.md,docs/postmortem-checkout-outage.md | docs/runbook-gateway-rollback.md | docs/runbook-mesh-rollback-legacy.md,2,3,True,False,medium,medium
q028,how long does a gateway rollback take,docs/runbook-gateway-rollback.md,docs/runbook-gateway-rollback.md,docs/runbook-gateway-rollback.md,1,1,False,True,high,high
q029,how long does a mesh rollback take,docs/runbook-mesh-rollback-legacy.md,docs/runbook-mesh-rollback-legacy.md,docs/runbook-mesh-rollback-legacy.md,1,1,False,True,high,high
q030,pods skipped silently during a rollback,docs/runbook-mesh-rollback-legacy.md,docs/postmortem-checkout-outage.md | docs/runbook-mesh-rollback-legacy.md,docs/postmortem-checkout-outage.md | docs/runbook-mesh-rollback-legacy.md,2,2,True,True,high,high
q031,is the legacy runbook still valid,docs/runbook-mesh-rollback-legacy.md,docs/adr-0019-calder-gateway.md | docs/runbook-mesh-rollback-legacy.md,docs/adr-0019-calder-gateway.md | docs/runbook-mesh-rollback-legacy.md,2,2,True,True,medium,medium
q032,does the superseded networking ADR still apply anywhere,docs/adr-0007-helix-mesh.md,docs/adr-0007-helix-mesh.md | docs/adr-0019-calder-gateway.md,docs/adr-0007-helix-mesh.md | docs/adr-0019-calder-gateway.md | docs/runbook-mesh-rollback-legacy.md,2,3,True,False,low,medium
q033,why keep a superseded record in the repository,docs/adr-0007-helix-mesh.md,docs/adr-0007-helix-mesh.md,docs/adr-0007-helix-mesh.md,1,1,False,True,high,high
q034,my alert paged at 3am but my service is internal,docs/guide-oncall-rota.md,docs/guide-onboarding.md | docs/guide-oncall-rota.md | docs/reference-deployment-tiers.md,docs/guide-onboarding.md | docs/guide-oncall-rota.md | docs/reference-deployment-tiers.md,3,3,True,True,medium,high
q035,I added a retry and things got worse,docs/guide-onboarding.md,docs/guide-onboarding.md,docs/guide-onboarding.md,1,1,False,True,high,high
q036,who approves a change to the revenue path,docs/reference-deployment-tiers.md,docs/reference-calderctl.md | docs/reference-deployment-tiers.md,docs/reference-calderctl.md | docs/reference-deployment-tiers.md,2,2,True,True,medium,medium
q037,what does the incident lead actually do,docs/guide-oncall-rota.md,docs/guide-oncall-rota.md,docs/guide-oncall-rota.md,1,1,False,True,high,high
q038,where do I record my service data class,docs/guide-onboarding.md,docs/guide-onboarding.md | docs/reference-calderctl.md,docs/guide-onboarding.md | docs/reference-calderctl.md,2,2,True,True,medium,medium
q039,what happens if I never state a classification,docs/policy-data-retention.md,docs/guide-onboarding.md | docs/policy-data-retention.md,docs/guide-onboarding.md | docs/policy-data-retention.md | docs/reference-calderctl.md,2,3,True,False,medium,medium
q040,how long are backups kept,docs/policy-data-retention.md,docs/policy-data-retention.md,docs/policy-data-retention.md,1,1,False,True,high,high
q041,can I delete a customer record out of the backups,docs/policy-data-retention.md,docs/policy-data-retention.md,docs/policy-data-retention.md,1,1,False,True,high,high
q042,why is having two rollback procedures dangerous,docs/adr-0019-calder-gateway.md,docs/adr-0019-calder-gateway.md | docs/reference-calderctl.md,docs/adr-0019-calder-gateway.md | docs/reference-calderctl.md | docs/runbook-gateway-rollback.md | docs/runbook-mesh-rollback-legacy.md,2,4,True,False,medium,medium
q043,we had a different retry policy in every service,docs/adr-0007-helix-mesh.md,docs/adr-0007-helix-mesh.md,docs/adr-0007-helix-mesh.md,1,1,False,True,high,high
q044,why not use ebpf instead of a proxy,docs/adr-0019-calder-gateway.md,docs/adr-0019-calder-gateway.md,docs/adr-0019-calder-gateway.md,1,1,False,True,high,high
q045,what is the cheapest tier to start on,docs/guide-onboarding.md,docs/guide-onboarding.md | docs/reference-deployment-tiers.md,docs/guide-onboarding.md | docs/reference-deployment-tiers.md,2,2,True,True,medium,medium
q046,how do we stop a slow dependency taking down checkout,docs/adr-0007-helix-mesh.md,docs/adr-0007-helix-mesh.md | docs/guide-onboarding.md,docs/adr-0007-helix-mesh.md | docs/guide-onboarding.md,2,2,True,True,low,low
q047,blast radius of a bad config push,docs/adr-0019-calder-gateway.md,docs/adr-0007-helix-mesh.md | docs/adr-0019-calder-gateway.md,docs/adr-0007-helix-mesh.md | docs/adr-0019-calder-gateway.md,2,2,True,True,medium,medium
q048,how do I tell if someone else is mid incident before I deploy,docs/reference-calderctl.md,docs/guide-oncall-rota.md | docs/reference-calderctl.md,docs/guide-oncall-rota.md | docs/reference-calderctl.md,2,2,True,True,medium,medium
q049,what did we promise to fix after the outage and did we,docs/postmortem-checkout-outage.md,docs/postmortem-checkout-outage.md,docs/postmortem-checkout-outage.md,1,1,False,True,high,high
q050,a hazard we wrote down but never actually fixed,docs/postmortem-checkout-outage.md,docs/postmortem-checkout-outage.md,docs/postmortem-checkout-outage.md | docs/runbook-gateway-rollback.md | docs/runbook-mesh-rollback-legacy.md,1,3,False,False,low,medium
