query_id,query,cosine_arm64_vs_x86_64,int8_query_vector_identical,top5_arm64,top5_x86_64,orderings_match
g011,how much grace does a pharma truck get at nagpur?,1.000000000,1,docs/07-rate-card-and-surcharges.md|docs/12-rate-card-2026-h2.md|docs/13-dock-scheduling-rules-2026.md|docs/05-decision-telematics-vendor-2023.md|docs/01-sop-temperature-excursion.md,docs/07-rate-card-and-surcharges.md|docs/12-rate-card-2026-h2.md|docs/13-dock-scheduling-rules-2026.md|docs/05-decision-telematics-vendor-2023.md|docs/01-sop-temperature-excursion.md,1
g012,what temperature range do vaccines have to stay in,1.000000000,1,docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/03-postmortem-nagpur-vaccine-excursion.md|docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md,docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/03-postmortem-nagpur-vaccine-excursion.md|docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md,1
g013,what does NOT count as the 30 minute break?,1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/13-dock-scheduling-rules-2026.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/07-rate-card-and-surcharges.md,docs/08-driver-hours-and-safety-policy.md|docs/13-dock-scheduling-rules-2026.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/07-rate-card-and-surcharges.md,1
g014,who insures our cold chain write-offs?,1.000000000,1,docs/13-dock-scheduling-rules-2026.md|docs/01-sop-temperature-excursion.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/08-driver-hours-and-safety-policy.md,docs/13-dock-scheduling-rules-2026.md|docs/01-sop-temperature-excursion.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/08-driver-hours-and-safety-policy.md,1
g015,which assets were the tessaline pilot,1.000000000,1,docs/11-decision-telematics-vendor-2026.md|docs/05-decision-telematics-vendor-2023.md|docs/01-sop-temperature-excursion.md|docs/10-new-joiner-faq.md|docs/08-driver-hours-and-safety-policy.md,docs/11-decision-telematics-vendor-2026.md|docs/05-decision-telematics-vendor-2023.md|docs/01-sop-temperature-excursion.md|docs/10-new-joiner-faq.md|docs/08-driver-hours-and-safety-policy.md,1
g016,who picks up routine questions while the offices are open?,1.000000000,1,docs/01-sop-temperature-excursion.md|docs/10-new-joiner-faq.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/13-dock-scheduling-rules-2026.md,docs/01-sop-temperature-excursion.md|docs/10-new-joiner-faq.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/13-dock-scheduling-rules-2026.md,1
g017,the cooling box on a lorry is misbehaving mid-journey. where should the person at the wheel pull in?,1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/01-sop-temperature-excursion.md|docs/13-dock-scheduling-rules-2026.md|docs/14-customer-notification-matrix-2025.md|docs/07-rate-card-and-surcharges.md,docs/08-driver-hours-and-safety-policy.md|docs/01-sop-temperature-excursion.md|docs/13-dock-scheduling-rules-2026.md|docs/14-customer-notification-matrix-2025.md|docs/07-rate-card-and-surcharges.md,1
g018,a manager told someone to keep going past the limit. what is that called?,1.000000000,1,docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/07-rate-card-and-surcharges.md|docs/01-sop-temperature-excursion.md|docs/08-driver-hours-and-safety-policy.md,docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/07-rate-card-and-surcharges.md|docs/01-sop-temperature-excursion.md|docs/08-driver-hours-and-safety-policy.md,1
g019,when is a hand written dock reading NOT good enough?,1.000000000,1,docs/13-dock-scheduling-rules-2026.md|docs/10-new-joiner-faq.md|docs/07-rate-card-and-surcharges.md|docs/01-sop-temperature-excursion.md|docs/12-rate-card-2026-h2.md,docs/13-dock-scheduling-rules-2026.md|docs/10-new-joiner-faq.md|docs/07-rate-card-and-surcharges.md|docs/01-sop-temperature-excursion.md|docs/12-rate-card-2026-h2.md,1
g020,what does the wiki page call the place a lorry waits when it misses its turn?,1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/10-new-joiner-faq.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md,docs/08-driver-hours-and-safety-policy.md|docs/10-new-joiner-faq.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md,1
g021,how long above 8 degrees before it counts as a vaccine excursion,1.000000000,1,docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/03-postmortem-nagpur-vaccine-excursion.md|docs/07-rate-card-and-surcharges.md|docs/12-rate-card-2026-h2.md,docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/03-postmortem-nagpur-vaccine-excursion.md|docs/07-rate-card-and-surcharges.md|docs/12-rate-card-2026-h2.md,1
g022,fleet control extension,1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/05-decision-telematics-vendor-2023.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/13-dock-scheduling-rules-2026.md,docs/08-driver-hours-and-safety-policy.md|docs/05-decision-telematics-vendor-2023.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/13-dock-scheduling-rules-2026.md,1
g023,what is the dockwise link that works outside the vpn?,1.000000000,1,docs/10-new-joiner-faq.md|docs/13-dock-scheduling-rules-2026.md|docs/01-sop-temperature-excursion.md|docs/07-rate-card-and-surcharges.md|docs/08-driver-hours-and-safety-policy.md,docs/10-new-joiner-faq.md|docs/13-dock-scheduling-rules-2026.md|docs/01-sop-temperature-excursion.md|docs/07-rate-card-and-surcharges.md|docs/08-driver-hours-and-safety-policy.md,1
g024,what does C2 mean,1.000000000,1,docs/10-new-joiner-faq.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/07-rate-card-and-surcharges.md,docs/10-new-joiner-faq.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/07-rate-card-and-surcharges.md,1
g025,how often do the sensors sample,1.000000000,1,docs/11-decision-telematics-vendor-2026.md|docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/08-driver-hours-and-safety-policy.md,docs/11-decision-telematics-vendor-2026.md|docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/08-driver-hours-and-safety-policy.md,1
g026,how long does the tessaline engagement run,1.000000000,1,docs/15-customer-notification-matrix-2026.md|docs/11-decision-telematics-vendor-2026.md|docs/14-customer-notification-matrix-2025.md|docs/13-dock-scheduling-rules-2026.md|docs/05-decision-telematics-vendor-2023.md,docs/15-customer-notification-matrix-2026.md|docs/11-decision-telematics-vendor-2026.md|docs/14-customer-notification-matrix-2025.md|docs/13-dock-scheduling-rules-2026.md|docs/05-decision-telematics-vendor-2023.md,1
g027,which vendor did the 2026 pune audit recommend for curtain replacement?,1.000000000,1,docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md|docs/01-sop-temperature-excursion.md|docs/11-decision-telematics-vendor-2026.md|docs/15-customer-notification-matrix-2026.md,docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md|docs/01-sop-temperature-excursion.md|docs/11-decision-telematics-vendor-2026.md|docs/15-customer-notification-matrix-2026.md,1
g028,how much does tessaline charge for one warehouse probe?,1.000000000,1,docs/12-rate-card-2026-h2.md|docs/01-sop-temperature-excursion.md|docs/07-rate-card-and-surcharges.md|docs/05-decision-telematics-vendor-2023.md|docs/11-decision-telematics-vendor-2026.md,docs/12-rate-card-2026-h2.md|docs/01-sop-temperature-excursion.md|docs/07-rate-card-and-surcharges.md|docs/05-decision-telematics-vendor-2023.md|docs/11-decision-telematics-vendor-2026.md,1
g029,karim drove over his hours twice. which rules did that touch?,1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/13-dock-scheduling-rules-2026.md|docs/07-rate-card-and-surcharges.md|docs/15-customer-notification-matrix-2026.md|docs/12-rate-card-2026-h2.md,docs/08-driver-hours-and-safety-policy.md|docs/13-dock-scheduling-rules-2026.md|docs/07-rate-card-and-surcharges.md|docs/15-customer-notification-matrix-2026.md|docs/12-rate-card-2026-h2.md,1
g030,guwahati rain cover — who gets told and does the customer pay for it?,1.000000000,1,docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md|docs/13-dock-scheduling-rules-2026.md|docs/14-customer-notification-matrix-2025.md|docs/08-driver-hours-and-safety-policy.md,docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md|docs/13-dock-scheduling-rules-2026.md|docs/14-customer-notification-matrix-2025.md|docs/08-driver-hours-and-safety-policy.md,1
g031,"if two write-ups disagree about what the temperature was, which one wins?",1.000000000,1,docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/01-sop-temperature-excursion.md|docs/13-dock-scheduling-rules-2026.md|docs/10-new-joiner-faq.md,docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/01-sop-temperature-excursion.md|docs/13-dock-scheduling-rules-2026.md|docs/10-new-joiner-faq.md,1
g032,how long may somebody stay behind the wheel in one stretch?,1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/15-customer-notification-matrix-2026.md|docs/13-dock-scheduling-rules-2026.md|docs/07-rate-card-and-surcharges.md|docs/14-customer-notification-matrix-2025.md,docs/08-driver-hours-and-safety-policy.md|docs/15-customer-notification-matrix-2026.md|docs/13-dock-scheduling-rules-2026.md|docs/07-rate-card-and-surcharges.md|docs/14-customer-notification-matrix-2025.md,1
g033,which room is vaccine stock in at nagpur and which bay does it go to when held?,1.000000000,1,docs/07-rate-card-and-surcharges.md|docs/01-sop-temperature-excursion.md|docs/12-rate-card-2026-h2.md|docs/03-postmortem-nagpur-vaccine-excursion.md|docs/15-customer-notification-matrix-2026.md,docs/07-rate-card-and-surcharges.md|docs/01-sop-temperature-excursion.md|docs/12-rate-card-2026-h2.md|docs/03-postmortem-nagpur-vaccine-excursion.md|docs/15-customer-notification-matrix-2026.md,1
g034,which mailbox should an urgent pharma alarm go to?,1.000000000,1,docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/10-new-joiner-faq.md|docs/13-dock-scheduling-rules-2026.md,docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/10-new-joiner-faq.md|docs/13-dock-scheduling-rules-2026.md,1
g035,a dairy truck waited two hours past its slot. what do we bill and what was free?,1.000000000,1,docs/15-customer-notification-matrix-2026.md|docs/07-rate-card-and-surcharges.md|docs/14-customer-notification-matrix-2025.md|docs/12-rate-card-2026-h2.md|docs/13-dock-scheduling-rules-2026.md,docs/15-customer-notification-matrix-2026.md|docs/07-rate-card-and-surcharges.md|docs/14-customer-notification-matrix-2025.md|docs/12-rate-card-2026-h2.md|docs/13-dock-scheduling-rules-2026.md,1
g036,what is the continuous driving limit and break length now?,1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/13-dock-scheduling-rules-2026.md|docs/07-rate-card-and-surcharges.md|docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md,docs/08-driver-hours-and-safety-policy.md|docs/13-dock-scheduling-rules-2026.md|docs/07-rate-card-and-surcharges.md|docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md,1
g037,how much of the tessaline export was missing for RF-221,1.000000000,1,docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/11-decision-telematics-vendor-2026.md|docs/05-decision-telematics-vendor-2023.md|docs/08-driver-hours-and-safety-policy.md,docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/11-decision-telematics-vendor-2026.md|docs/05-decision-telematics-vendor-2023.md|docs/08-driver-hours-and-safety-policy.md,1
g038,what do we charge now for putting solid CO2 into a box?,1.000000000,1,docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md|docs/15-customer-notification-matrix-2026.md|docs/05-decision-telematics-vendor-2023.md|docs/14-customer-notification-matrix-2025.md,docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md|docs/15-customer-notification-matrix-2026.md|docs/05-decision-telematics-vendor-2023.md|docs/14-customer-notification-matrix-2025.md,1
g039,"under the old 2019 policy, how many hours could a driver actually drive?",1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/07-rate-card-and-surcharges.md|docs/13-dock-scheduling-rules-2026.md|docs/15-customer-notification-matrix-2026.md|docs/12-rate-card-2026-h2.md,docs/08-driver-hours-and-safety-policy.md|docs/07-rate-card-and-surcharges.md|docs/13-dock-scheduling-rules-2026.md|docs/15-customer-notification-matrix-2026.md|docs/12-rate-card-2026-h2.md,1
g040,when may somebody back a vehicle up in the yard late at night?,1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/10-new-joiner-faq.md|docs/01-sop-temperature-excursion.md,docs/08-driver-hours-and-safety-policy.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/10-new-joiner-faq.md|docs/01-sop-temperature-excursion.md,1
g041,insulin high excursion duration?,1.000000000,1,docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/07-rate-card-and-surcharges.md|docs/12-rate-card-2026-h2.md|docs/13-dock-scheduling-rules-2026.md,docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/07-rate-card-and-surcharges.md|docs/12-rate-card-2026-h2.md|docs/13-dock-scheduling-rules-2026.md,1
g042,monthly charge per fixed sensor now,1.000000000,1,docs/11-decision-telematics-vendor-2026.md|docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md|docs/05-decision-telematics-vendor-2023.md|docs/15-customer-notification-matrix-2026.md,docs/11-decision-telematics-vendor-2026.md|docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md|docs/05-decision-telematics-vendor-2023.md|docs/15-customer-notification-matrix-2026.md,1
g043,is a cold-chain crisis on its own enough to let somebody stay on the road longer?,1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/13-dock-scheduling-rules-2026.md|docs/01-sop-temperature-excursion.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md,docs/08-driver-hours-and-safety-policy.md|docs/13-dock-scheduling-rules-2026.md|docs/01-sop-temperature-excursion.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md,1
g044,what notification window did the 2025 matrix set for patient critical stock?,1.000000000,1,docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/07-rate-card-and-surcharges.md|docs/05-decision-telematics-vendor-2023.md,docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/07-rate-card-and-surcharges.md|docs/05-decision-telematics-vendor-2023.md,1
g045,an auditor wants the kalpa-era commercial figures. where are they?,1.000000000,1,docs/05-decision-telematics-vendor-2023.md|docs/11-decision-telematics-vendor-2026.md|docs/08-driver-hours-and-safety-policy.md|docs/15-customer-notification-matrix-2026.md|docs/10-new-joiner-faq.md,docs/05-decision-telematics-vendor-2023.md|docs/11-decision-telematics-vendor-2026.md|docs/08-driver-hours-and-safety-policy.md|docs/15-customer-notification-matrix-2026.md|docs/10-new-joiner-faq.md,1
g046,how often does the new kit send a reading?,1.000000000,1,docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/13-dock-scheduling-rules-2026.md|docs/01-sop-temperature-excursion.md|docs/11-decision-telematics-vendor-2026.md,docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/13-dock-scheduling-rules-2026.md|docs/01-sop-temperature-excursion.md|docs/11-decision-telematics-vendor-2026.md,1
g047,when was coimbatore supposed to cut over,1.000000000,1,docs/13-dock-scheduling-rules-2026.md|docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md,docs/13-dock-scheduling-rules-2026.md|docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md,1
g048,does dozing in the cab while queueing count as proper time off?,1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/13-dock-scheduling-rules-2026.md|docs/07-rate-card-and-surcharges.md|docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md,docs/08-driver-hours-and-safety-policy.md|docs/13-dock-scheduling-rules-2026.md|docs/07-rate-card-and-surcharges.md|docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md,1
g049,night extension number for nagpur,1.000000000,1,docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md|docs/10-new-joiner-faq.md|docs/01-sop-temperature-excursion.md|docs/08-driver-hours-and-safety-policy.md,docs/12-rate-card-2026-h2.md|docs/07-rate-card-and-surcharges.md|docs/10-new-joiner-faq.md|docs/01-sop-temperature-excursion.md|docs/08-driver-hours-and-safety-policy.md,1
g050,how quickly does a vaccine customer have to hear from us?,1.000000000,1,docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/01-sop-temperature-excursion.md|docs/13-dock-scheduling-rules-2026.md|docs/12-rate-card-2026-h2.md,docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/01-sop-temperature-excursion.md|docs/13-dock-scheduling-rules-2026.md|docs/12-rate-card-2026-h2.md,1
g051,what is NOT accepted as evidence that a corrective action is finished?,1.000000000,1,docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/13-dock-scheduling-rules-2026.md|docs/08-driver-hours-and-safety-policy.md,docs/01-sop-temperature-excursion.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/13-dock-scheduling-rules-2026.md|docs/08-driver-hours-and-safety-policy.md,1
g052,minimum rest between two duty days,1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/15-customer-notification-matrix-2026.md|docs/07-rate-card-and-surcharges.md|docs/14-customer-notification-matrix-2025.md|docs/01-sop-temperature-excursion.md,docs/08-driver-hours-and-safety-policy.md|docs/15-customer-notification-matrix-2026.md|docs/07-rate-card-and-surcharges.md|docs/14-customer-notification-matrix-2025.md|docs/01-sop-temperature-excursion.md,1
g053,which late bookings are NOT cancelled automatically?,1.000000000,1,docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/13-dock-scheduling-rules-2026.md|docs/08-driver-hours-and-safety-policy.md|docs/10-new-joiner-faq.md,docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/13-dock-scheduling-rules-2026.md|docs/08-driver-hours-and-safety-policy.md|docs/10-new-joiner-faq.md,1
g054,who is allowed to change the alarm numbers in the tracking software?,1.000000000,1,docs/01-sop-temperature-excursion.md|docs/10-new-joiner-faq.md|docs/08-driver-hours-and-safety-policy.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md,docs/01-sop-temperature-excursion.md|docs/10-new-joiner-faq.md|docs/08-driver-hours-and-safety-policy.md|docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md,1
g055,pharma dock grace — what did the night team have in feb 2026 and what would they have now?,1.000000000,1,docs/13-dock-scheduling-rules-2026.md|docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/07-rate-card-and-surcharges.md|docs/11-decision-telematics-vendor-2026.md,docs/13-dock-scheduling-rules-2026.md|docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/07-rate-card-and-surcharges.md|docs/11-decision-telematics-vendor-2026.md,1
g056,"what may the first note to the client say, and what may it not promise?",1.000000000,1,docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/07-rate-card-and-surcharges.md|docs/01-sop-temperature-excursion.md|docs/08-driver-hours-and-safety-policy.md,docs/15-customer-notification-matrix-2026.md|docs/14-customer-notification-matrix-2025.md|docs/07-rate-card-and-surcharges.md|docs/01-sop-temperature-excursion.md|docs/08-driver-hours-and-safety-policy.md,1
g057,what is the approved export file called,1.000000000,1,docs/11-decision-telematics-vendor-2026.md|docs/08-driver-hours-and-safety-policy.md|docs/01-sop-temperature-excursion.md|docs/07-rate-card-and-surcharges.md|docs/12-rate-card-2026-h2.md,docs/11-decision-telematics-vendor-2026.md|docs/08-driver-hours-and-safety-policy.md|docs/01-sop-temperature-excursion.md|docs/07-rate-card-and-surcharges.md|docs/12-rate-card-2026-h2.md,1
g058,the tracking box starts beeping while the vehicle is moving. what is the person at the wheel supposed to do?,1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/10-new-joiner-faq.md,docs/08-driver-hours-and-safety-policy.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/01-sop-temperature-excursion.md|docs/10-new-joiner-faq.md,1
g059,how many vials were in lot ROTA-9A on its own?,1.000000000,1,docs/15-customer-notification-matrix-2026.md|docs/03-postmortem-nagpur-vaccine-excursion.md|docs/08-driver-hours-and-safety-policy.md|docs/07-rate-card-and-surcharges.md|docs/01-sop-temperature-excursion.md,docs/15-customer-notification-matrix-2026.md|docs/03-postmortem-nagpur-vaccine-excursion.md|docs/08-driver-hours-and-safety-policy.md|docs/07-rate-card-and-surcharges.md|docs/01-sop-temperature-excursion.md,1
g060,what rest applies to a driver on a two week international run?,1.000000000,1,docs/08-driver-hours-and-safety-policy.md|docs/13-dock-scheduling-rules-2026.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/07-rate-card-and-surcharges.md,docs/08-driver-hours-and-safety-policy.md|docs/13-dock-scheduling-rules-2026.md|docs/14-customer-notification-matrix-2025.md|docs/15-customer-notification-matrix-2026.md|docs/07-rate-card-and-surcharges.md,1
