id,rung,hit@1,hit@5,recall@5,rank_first_relevant,abstained,abstain_correct
g010,rung-00500,0,0,0.0000,,0,0
g011,rung-00500,1,1,1.0000,1,0,1
g012,rung-00500,0,1,0.5000,4,0,1
g013,rung-00500,0,0,0.0000,6,0,1
g014,rung-00500,0,0,0.0000,,0,0
g015,rung-00500,1,1,0.5000,1,0,1
g016,rung-00500,0,0,0.0000,,0,1
g017,rung-00500,0,0,0.0000,,0,1
g018,rung-00500,0,1,0.5000,2,0,1
g019,rung-00500,0,0,0.0000,,0,1
g020,rung-00500,1,1,0.7500,1,0,1
g021,rung-00500,0,0,0.0000,9,0,1
g022,rung-00500,0,0,0.0000,,0,1
g023,rung-00500,0,0,0.0000,,0,0
g024,rung-00500,0,1,0.6667,2,0,1
g025,rung-00500,0,0,0.0000,,0,1
g026,rung-00500,1,1,1.0000,1,0,1
g027,rung-00500,0,0,0.0000,,0,0
g028,rung-00500,0,0,0.0000,,0,0
g029,rung-00500,0,0,0.0000,,0,1
g030,rung-00500,1,1,1.0000,1,0,1
g031,rung-00500,0,0,0.0000,,0,1
g032,rung-00500,0,0,0.0000,,0,1
g033,rung-00500,1,1,0.2500,1,0,1
g034,rung-00500,1,1,0.5000,1,0,1
g035,rung-00500,0,1,0.6667,2,0,1
g036,rung-00500,0,0,0.0000,8,0,1
g037,rung-00500,1,1,1.0000,1,0,1
g038,rung-00500,0,0,0.0000,,0,1
g039,rung-00500,1,1,1.0000,1,0,1
g040,rung-00500,0,1,0.5000,3,0,1
g041,rung-00500,0,0,0.0000,9,0,1
g042,rung-00500,0,0,0.0000,,0,1
g043,rung-00500,1,1,1.0000,1,0,1
g044,rung-00500,0,0,0.0000,6,0,1
g045,rung-00500,1,1,1.0000,1,0,1
g046,rung-00500,0,0,0.0000,7,0,1
g047,rung-00500,0,0,0.0000,,0,1
g048,rung-00500,1,1,0.5000,1,0,1
g049,rung-00500,1,1,0.5000,1,0,1
g050,rung-00500,0,0,0.0000,8,0,1
g051,rung-00500,0,1,1.0000,3,0,1
g052,rung-00500,0,1,1.0000,2,0,1
g053,rung-00500,0,1,0.5000,2,0,1
g054,rung-00500,0,0,0.0000,,0,1
g055,rung-00500,1,1,0.3333,1,0,1
g056,rung-00500,0,0,0.0000,,0,1
g057,rung-00500,1,1,0.6667,1,0,1
g058,rung-00500,0,0,0.0000,,0,1
g059,rung-00500,0,0,0.0000,,0,0
g060,rung-00500,0,0,0.0000,,0,0
g061,rung-00500,1,1,0.6667,1,0,1
g062,rung-00500,1,1,0.3333,1,0,1
g063,rung-00500,1,1,0.6667,1,0,1
g064,rung-00500,0,1,0.5000,2,0,1
g065,rung-00500,0,1,0.5000,2,0,1
g066,rung-00500,0,0,0.0000,,0,1
g067,rung-00500,1,1,0.5000,1,0,1
g068,rung-00500,0,1,1.0000,2,0,1
g069,rung-00500,0,1,1.0000,2,0,1
g070,rung-00500,1,1,0.3333,1,0,1
g071,rung-00500,1,1,0.6667,1,0,1
g072,rung-00500,1,1,0.3333,1,0,1
g073,rung-00500,0,1,0.5000,3,0,1
g074,rung-00500,1,1,0.5000,1,0,1
g075,rung-00500,1,1,1.0000,1,0,1
g076,rung-00500,1,1,0.5000,1,0,1
g077,rung-00500,1,1,1.0000,1,0,1
g078,rung-00500,0,0,0.0000,,0,1
g079,rung-00500,1,1,1.0000,1,0,1
g080,rung-00500,1,1,0.6667,1,0,1
g081,rung-00500,1,1,1.0000,1,0,1
g082,rung-00500,1,1,1.0000,1,0,1
g083,rung-00500,0,0,0.0000,6,0,1
g084,rung-00500,0,0,0.0000,,0,1
g085,rung-00500,1,1,1.0000,1,0,1
g086,rung-00500,0,1,1.0000,2,0,1
g087,rung-00500,1,1,1.0000,1,0,1
g088,rung-00500,1,1,0.6667,1,0,1
g089,rung-00500,0,1,0.3333,2,0,1
g090,rung-00500,0,0,0.0000,,0,0
g091,rung-00500,1,1,1.0000,1,0,1
g092,rung-00500,1,1,0.3333,1,0,1
g093,rung-00500,0,1,0.6667,2,0,1
g094,rung-00500,1,1,0.5000,1,0,1
g095,rung-00500,0,1,1.0000,2,0,1
g096,rung-00500,1,1,0.5000,1,0,1
g097,rung-00500,1,1,1.0000,1,0,1
g098,rung-00500,0,0,0.0000,9,0,1
g099,rung-00500,1,1,1.0000,1,0,1
g100,rung-00500,0,0,0.0000,,0,1
g101,rung-00500,0,0,0.0000,6,0,1
g102,rung-00500,0,0,0.0000,,0,1
g103,rung-00500,0,0,0.0000,,0,1
g104,rung-00500,0,0,0.0000,,0,0
g105,rung-00500,1,1,0.8000,1,0,1
g106,rung-00500,0,0,0.0000,,0,1
g107,rung-00500,0,1,0.5000,5,0,1
g108,rung-00500,0,0,0.0000,,0,0
g109,rung-00500,1,1,0.5000,1,0,1
g110,rung-00500,0,0,0.0000,10,0,1
g111,rung-00500,0,0,0.0000,,0,1
g112,rung-00500,0,0,0.0000,6,0,1
g113,rung-00500,0,0,0.0000,,0,0
g114,rung-00500,0,1,0.3333,3,0,1
g115,rung-00500,0,0,0.0000,,0,1
g116,rung-00500,1,1,1.0000,1,0,1
g117,rung-00500,1,1,1.0000,1,0,1
g118,rung-00500,1,1,0.7500,1,0,1
g119,rung-00500,0,0,0.0000,9,0,1
g120,rung-00500,0,0,0.0000,10,0,1
g121,rung-00500,0,1,1.0000,2,0,1
g122,rung-00500,0,0,0.0000,,0,1
g123,rung-00500,0,0,0.0000,8,0,1
g124,rung-00500,0,1,0.5000,5,0,1
g001,rung-01000,0,1,1.0000,2,0,1
g002,rung-01000,0,0,0.0000,,0,1
g003,rung-01000,0,1,0.6667,2,0,1
g004,rung-01000,0,0,0.0000,,0,1
g005,rung-01000,0,0,0.0000,8,0,1
g006,rung-01000,0,0,0.0000,,0,0
g007,rung-01000,0,0,0.0000,,0,1
g008,rung-01000,0,0,0.0000,,0,1
g009,rung-01000,1,1,1.0000,1,0,1
g010,rung-01000,0,0,0.0000,,0,0
g011,rung-01000,1,1,1.0000,1,0,1
g012,rung-01000,0,0,0.0000,8,0,1
g013,rung-01000,0,0,0.0000,9,0,1
g014,rung-01000,0,0,0.0000,,0,0
g015,rung-01000,1,1,0.5000,1,0,1
g016,rung-01000,0,0,0.0000,,0,1
g017,rung-01000,0,0,0.0000,,0,1
g018,rung-01000,0,1,0.5000,2,0,1
g019,rung-01000,0,0,0.0000,,0,1
g020,rung-01000,1,1,0.7500,1,0,1
g021,rung-01000,0,0,0.0000,,0,1
g022,rung-01000,0,0,0.0000,,0,1
g023,rung-01000,0,0,0.0000,,0,0
g024,rung-01000,0,1,0.6667,2,0,1
g025,rung-01000,0,0,0.0000,,0,1
g026,rung-01000,1,1,1.0000,1,0,1
g027,rung-01000,0,0,0.0000,,0,0
g028,rung-01000,0,0,0.0000,,0,0
g029,rung-01000,0,0,0.0000,,0,1
g030,rung-01000,1,1,0.7500,1,0,1
g031,rung-01000,0,0,0.0000,,0,1
g032,rung-01000,0,0,0.0000,,0,1
g033,rung-01000,1,1,0.2500,1,0,1
g034,rung-01000,1,1,0.5000,1,0,1
g035,rung-01000,0,1,0.6667,2,0,1
g036,rung-01000,0,0,0.0000,,0,1
g037,rung-01000,1,1,1.0000,1,0,1
g038,rung-01000,0,0,0.0000,,0,1
g039,rung-01000,1,1,1.0000,1,0,1
g040,rung-01000,0,1,0.5000,3,0,1
g041,rung-01000,0,0,0.0000,,0,1
g042,rung-01000,0,0,0.0000,,0,1
g043,rung-01000,1,1,1.0000,1,0,1
g044,rung-01000,0,0,0.0000,10,0,1
g045,rung-01000,1,1,1.0000,1,0,1
g046,rung-01000,0,0,0.0000,7,0,1
g047,rung-01000,0,0,0.0000,,0,1
g048,rung-01000,1,1,0.5000,1,0,1
g049,rung-01000,1,1,0.5000,1,0,1
g050,rung-01000,0,0,0.0000,,0,1
g051,rung-01000,0,1,1.0000,3,0,1
g052,rung-01000,0,1,1.0000,2,0,1
g053,rung-01000,0,1,0.5000,2,0,1
g054,rung-01000,0,0,0.0000,,0,1
g055,rung-01000,1,1,0.3333,1,0,1
g056,rung-01000,0,0,0.0000,,0,1
g057,rung-01000,1,1,0.6667,1,0,1
g058,rung-01000,0,0,0.0000,,0,1
g059,rung-01000,0,0,0.0000,,0,0
g060,rung-01000,0,0,0.0000,,0,0
g061,rung-01000,1,1,0.3333,1,0,1
g062,rung-01000,1,1,0.3333,1,0,1
g063,rung-01000,1,1,0.3333,1,0,1
g064,rung-01000,1,1,0.5000,1,0,1
g065,rung-01000,0,1,0.5000,2,0,1
g066,rung-01000,0,0,0.0000,,0,1
g067,rung-01000,1,1,0.5000,1,0,1
g068,rung-01000,0,1,1.0000,2,0,1
g069,rung-01000,0,1,1.0000,2,0,1
g070,rung-01000,1,1,0.3333,1,0,1
g071,rung-01000,1,1,1.0000,1,0,1
g072,rung-01000,1,1,0.3333,1,0,1
g073,rung-01000,0,1,0.5000,3,0,1
g074,rung-01000,1,1,0.5000,1,0,1
g075,rung-01000,1,1,1.0000,1,0,1
g076,rung-01000,1,1,0.5000,1,0,1
g077,rung-01000,1,1,1.0000,1,0,1
g078,rung-01000,0,0,0.0000,,0,1
g079,rung-01000,1,1,1.0000,1,0,1
g080,rung-01000,1,1,0.6667,1,0,1
g081,rung-01000,1,1,1.0000,1,0,1
g082,rung-01000,1,1,1.0000,1,0,1
g083,rung-01000,0,0,0.0000,10,0,1
g084,rung-01000,0,0,0.0000,,0,1
g085,rung-01000,1,1,1.0000,1,0,1
g086,rung-01000,0,1,1.0000,2,0,1
g087,rung-01000,1,1,1.0000,1,0,1
g088,rung-01000,1,1,0.6667,1,0,1
g089,rung-01000,0,1,0.3333,2,0,1
g090,rung-01000,0,0,0.0000,,0,0
