id	rung	band	answerable	rank1	rank2	rank3	rank4	rank5
g003	rung-seed	partial	true	seed/01-sop-temperature-excursion.md	seed/archive/a01-sop-temperature-excursion-rev2.md	seed/03-postmortem-nagpur-vaccine-excursion.md	seed/14-customer-notification-matrix-2025.md	seed/15-customer-notification-matrix-2026.md
g003	rung-00100	weak	true	ext/sibling/a01-marrowbeck-excursion-sop.md	seed/archive/a01-sop-temperature-excursion-rev2.md	seed/01-sop-temperature-excursion.md	ext/sibling/a03-petrichor-postmortem-insulin.md	seed/03-postmortem-nagpur-vaccine-excursion.md
g003	rung-00200	weak	true	ext/sibling/a01-marrowbeck-excursion-sop.md	seed/archive/a01-sop-temperature-excursion-rev2.md	seed/01-sop-temperature-excursion.md	ext/sibling/00126-sop.md	ext/sibling/a03-petrichor-postmortem-insulin.md
g003	rung-00500	weak	true	ext/sibling/a01-marrowbeck-excursion-sop.md	seed/archive/a01-sop-temperature-excursion-rev2.md	seed/01-sop-temperature-excursion.md	ext/sibling/00453-sop.md	ext/sibling/00126-sop.md
g003	rung-01000	weak	true	ext/sibling/a01-marrowbeck-excursion-sop.md	seed/archive/a01-sop-temperature-excursion-rev2.md	seed/01-sop-temperature-excursion.md	ext/sibling/00476-sop.md	ext/sibling/00819-sop.md
g004	rung-seed	weak	true	seed/10-new-joiner-faq.md	seed/08-driver-hours-and-safety-policy.md	seed/archive/a05-induction-checklist-2020.txt	seed/02-sensor-thresholds.yaml	seed/11-decision-telematics-vendor-2026.md
g004	rung-00100	weak	true	ext/sibling/00010-postmortem.md	ext/sibling/00043-postmortem.md	ext/sibling/00049-postmortem.md	ext/sibling/a03-petrichor-postmortem-insulin.md	seed/10-new-joiner-faq.md
g004	rung-00200	weak	true	ext/sibling/00010-postmortem.md	ext/sibling/00130-postmortem.md	ext/sibling/00136-postmortem.md	ext/sibling/00066-postmortem.md	ext/sibling/00043-postmortem.md
g004	rung-00500	weak	true	ext/sibling/00229-postmortem.md	ext/sibling/00010-postmortem.md	ext/sibling/00310-postmortem.md	ext/sibling/00416-postmortem.md	ext/sibling/00223-postmortem.md
g004	rung-01000	weak	true	ext/sibling/00229-postmortem.md	ext/sibling/00589-postmortem.md	seed/10-new-joiner-faq.md	ext/sibling/00670-postmortem.md	ext/sibling/00010-postmortem.md
g005	rung-seed	partial	true	seed/04-night-shift-handover-log.txt	seed/09-dock-scheduling-wiki-export.html	seed/03-postmortem-nagpur-vaccine-excursion.md	seed/14-customer-notification-matrix-2025.md	seed/13-dock-scheduling-rules-2026.md
g005	rung-00100	weak	true	seed/04-night-shift-handover-log.txt	seed/09-dock-scheduling-wiki-export.html	ext/sibling/a01-marrowbeck-excursion-sop.md	seed/14-customer-notification-matrix-2025.md	seed/03-postmortem-nagpur-vaccine-excursion.md
g005	rung-00200	grounded	true	ext/filler/00148-release-notes.md	seed/04-night-shift-handover-log.txt	seed/09-dock-scheduling-wiki-export.html	seed/14-customer-notification-matrix-2025.md	ext/sibling/a01-marrowbeck-excursion-sop.md
g005	rung-00500	grounded	true	ext/filler/00148-release-notes.md	ext/sibling/00349-postmortem.md	ext/sibling/00206-postmortem.md	ext/sibling/00403-postmortem.md	seed/09-dock-scheduling-wiki-export.html
g005	rung-01000	grounded	true	ext/filler/00148-release-notes.md	ext/sibling/00349-postmortem.md	ext/sibling/00463-postmortem.md	ext/sibling/00206-postmortem.md	ext/sibling/00613-dockwiki.html
g006	rung-seed	partial	true	seed/10-new-joiner-faq.md	seed/01-sop-temperature-excursion.md	seed/09-dock-scheduling-wiki-export.html	seed/05-decision-telematics-vendor-2023.md	seed/archive/a03-dock-scheduling-wiki-2021.html
g006	rung-00100	partial	true	seed/10-new-joiner-faq.md	seed/01-sop-temperature-excursion.md	ext/archive/00055-sop-retired.md	ext/sibling/00033-sop.md	ext/sibling/00039-sop.md
g006	rung-00200	partial	true	seed/10-new-joiner-faq.md	ext/archive/00125-sop-retired.md	ext/archive/00055-sop-retired.md	seed/01-sop-temperature-excursion.md	ext/sibling/00080-decision.md
g006	rung-00500	partial	true	seed/10-new-joiner-faq.md	ext/archive/00125-sop-retired.md	ext/archive/00405-sop-retired.md	ext/archive/00195-sop-retired.md	ext/archive/00265-sop-retired.md
g006	rung-01000	partial	true	seed/10-new-joiner-faq.md	ext/archive/00545-sop-retired.md	ext/archive/00475-sop-retired.md	ext/archive/00615-sop-retired.md	ext/archive/00895-sop-retired.md
g007	rung-seed	partial	true	seed/09-dock-scheduling-wiki-export.html	seed/04-night-shift-handover-log.txt	seed/10-new-joiner-faq.md	seed/06-re-fw-telematics-cutover.eml	seed/01-sop-temperature-excursion.md
g007	rung-00100	partial	true	ext/adjacent/a10-vantorix-it-access.md	ext/sibling/a07-halberd-dock-wiki.html	seed/09-dock-scheduling-wiki-export.html	seed/10-new-joiner-faq.md	seed/06-re-fw-telematics-cutover.eml
g007	rung-00200	partial	true	ext/adjacent/a10-vantorix-it-access.md	ext/sibling/a07-halberd-dock-wiki.html	seed/09-dock-scheduling-wiki-export.html	seed/10-new-joiner-faq.md	seed/06-re-fw-telematics-cutover.eml
g007	rung-00500	partial	true	ext/adjacent/a10-vantorix-it-access.md	ext/sibling/a07-halberd-dock-wiki.html	seed/09-dock-scheduling-wiki-export.html	seed/10-new-joiner-faq.md	seed/06-re-fw-telematics-cutover.eml
g007	rung-01000	partial	true	ext/adjacent/a10-vantorix-it-access.md	ext/sibling/a07-halberd-dock-wiki.html	seed/09-dock-scheduling-wiki-export.html	seed/10-new-joiner-faq.md	seed/06-re-fw-telematics-cutover.eml
g008	rung-seed	partial	true	seed/05-decision-telematics-vendor-2023.md	seed/archive/a02-kalpa-alert-routing-guide-2021.md	seed/03-postmortem-nagpur-vaccine-excursion.md	seed/01-sop-temperature-excursion.md	seed/10-new-joiner-faq.md
g008	rung-00100	partial	true	ext/adjacent/a11-petrichor-hr-leave.md	seed/05-decision-telematics-vendor-2023.md	ext/adjacent/a13-halberd-insurance-claim.eml	ext/sibling/a08-sundari-notification-matrix.md	ext/archive/00055-sop-retired.md
g008	rung-00200	partial	true	ext/adjacent/a11-petrichor-hr-leave.md	seed/05-decision-telematics-vendor-2023.md	ext/adjacent/a13-halberd-insurance-claim.eml	ext/sibling/a08-sundari-notification-matrix.md	ext/archive/00125-sop-retired.md
g008	rung-00500	partial	true	ext/adjacent/a11-petrichor-hr-leave.md	seed/05-decision-telematics-vendor-2023.md	ext/adjacent/a13-halberd-insurance-claim.eml	ext/sibling/a08-sundari-notification-matrix.md	ext/archive/00125-sop-retired.md
g008	rung-01000	partial	true	ext/adjacent/a11-petrichor-hr-leave.md	ext/adjacent/a13-halberd-insurance-claim.eml	seed/05-decision-telematics-vendor-2023.md	ext/filler/a16-ward-notice.html	ext/sibling/a08-sundari-notification-matrix.md
g009	rung-seed	grounded	true	seed/03-postmortem-nagpur-vaccine-excursion.md	seed/04-night-shift-handover-log.txt	seed/07-rate-card-and-surcharges.md	seed/01-sop-temperature-excursion.md	seed/12-rate-card-2026-h2.md
g009	rung-00100	grounded	true	seed/03-postmortem-nagpur-vaccine-excursion.md	ext/adjacent/a13-halberd-insurance-claim.eml	ext/adjacent/a09-marrowbeck-ammonia-facilities.md	seed/07-rate-card-and-surcharges.md	seed/04-night-shift-handover-log.txt
g009	rung-00200	grounded	true	seed/03-postmortem-nagpur-vaccine-excursion.md	ext/adjacent/a13-halberd-insurance-claim.eml	ext/adjacent/a09-marrowbeck-ammonia-facilities.md	seed/07-rate-card-and-surcharges.md	seed/12-rate-card-2026-h2.md
g009	rung-00500	grounded	true	seed/03-postmortem-nagpur-vaccine-excursion.md	ext/adjacent/a13-halberd-insurance-claim.eml	ext/adjacent/a09-marrowbeck-ammonia-facilities.md	seed/07-rate-card-and-surcharges.md	seed/12-rate-card-2026-h2.md
g009	rung-01000	grounded	true	seed/03-postmortem-nagpur-vaccine-excursion.md	ext/adjacent/a13-halberd-insurance-claim.eml	ext/adjacent/a09-marrowbeck-ammonia-facilities.md	seed/07-rate-card-and-surcharges.md	seed/12-rate-card-2026-h2.md
g010	rung-seed	partial	true	seed/06-re-fw-telematics-cutover.eml	seed/04-night-shift-handover-log.txt	seed/02-sensor-thresholds.yaml	seed/08-driver-hours-and-safety-policy.md	seed/05-decision-telematics-vendor-2023.md
g010	rung-00100	partial	true	seed/06-re-fw-telematics-cutover.eml	seed/04-night-shift-handover-log.txt	seed/02-sensor-thresholds.yaml	ext/adjacent/00007-finance-close.md	ext/adjacent/00021-finance-close.md
g010	rung-00200	partial	true	seed/06-re-fw-telematics-cutover.eml	seed/02-sensor-thresholds.yaml	seed/04-night-shift-handover-log.txt	ext/sibling/00053-decision.md	ext/adjacent/a13-halberd-insurance-claim.eml
g010	rung-00500	partial	true	seed/06-re-fw-telematics-cutover.eml	seed/02-sensor-thresholds.yaml	seed/04-night-shift-handover-log.txt	ext/sibling/00053-decision.md	ext/sibling/00353-decision.md
g010	rung-01000	partial	true	seed/06-re-fw-telematics-cutover.eml	seed/02-sensor-thresholds.yaml	seed/04-night-shift-handover-log.txt	ext/sibling/00053-decision.md	ext/sibling/00353-decision.md
g011	rung-seed	partial	true	seed/09-dock-scheduling-wiki-export.html	seed/13-dock-scheduling-rules-2026.md	seed/archive/a03-dock-scheduling-wiki-2021.html	seed/10-new-joiner-faq.md	seed/04-night-shift-handover-log.txt
g011	rung-00100	partial	true	seed/09-dock-scheduling-wiki-export.html	seed/13-dock-scheduling-rules-2026.md	ext/sibling/a07-halberd-dock-wiki.html	seed/archive/a03-dock-scheduling-wiki-2021.html	seed/10-new-joiner-faq.md
g011	rung-00200	partial	true	seed/09-dock-scheduling-wiki-export.html	seed/13-dock-scheduling-rules-2026.md	ext/sibling/a07-halberd-dock-wiki.html	seed/archive/a03-dock-scheduling-wiki-2021.html	seed/10-new-joiner-faq.md
g011	rung-00500	partial	true	seed/09-dock-scheduling-wiki-export.html	seed/13-dock-scheduling-rules-2026.md	seed/10-new-joiner-faq.md	seed/archive/a03-dock-scheduling-wiki-2021.html	ext/sibling/a07-halberd-dock-wiki.html
g011	rung-01000	partial	true	seed/09-dock-scheduling-wiki-export.html	seed/13-dock-scheduling-rules-2026.md	seed/10-new-joiner-faq.md	seed/archive/a03-dock-scheduling-wiki-2021.html	ext/sibling/a07-halberd-dock-wiki.html
g012	rung-seed	weak	true	seed/13-dock-scheduling-rules-2026.md	seed/03-postmortem-nagpur-vaccine-excursion.md	seed/01-sop-temperature-excursion.md	seed/10-new-joiner-faq.md	seed/archive/a01-sop-temperature-excursion-rev2.md
g012	rung-00100	weak	true	seed/03-postmortem-nagpur-vaccine-excursion.md	ext/sibling/a01-marrowbeck-excursion-sop.md	seed/01-sop-temperature-excursion.md	ext/filler/00042-chess.md	ext/filler/00048-chess.md
g012	rung-00200	weak	true	seed/03-postmortem-nagpur-vaccine-excursion.md	ext/sibling/a01-marrowbeck-excursion-sop.md	seed/01-sop-temperature-excursion.md	ext/sibling/00126-sop.md	ext/sibling/00046-quarantine.md
g012	rung-00500	grounded	true	seed/03-postmortem-nagpur-vaccine-excursion.md	ext/sibling/a01-marrowbeck-excursion-sop.md	ext/sibling/00453-sop.md	seed/01-sop-temperature-excursion.md	ext/sibling/00126-sop.md
g012	rung-01000	grounded	true	seed/03-postmortem-nagpur-vaccine-excursion.md	ext/sibling/a01-marrowbeck-excursion-sop.md	ext/sibling/00819-sop.md	ext/sibling/00476-sop.md	ext/sibling/00453-sop.md
g013	rung-seed	grounded	true	seed/08-driver-hours-and-safety-policy.md	seed/13-dock-scheduling-rules-2026.md	seed/archive/a04-driver-hours-policy-2019.md	seed/11-decision-telematics-vendor-2026.md	seed/archive/a05-induction-checklist-2020.txt
g013	rung-00100	grounded	true	seed/08-driver-hours-and-safety-policy.md	seed/13-dock-scheduling-rules-2026.md	ext/sibling/00026-hours.md	ext/sibling/00033-sop.md	ext/sibling/00046-quarantine.md
g013	rung-00200	weak	true	ext/sibling/00096-hours.md	seed/08-driver-hours-and-safety-policy.md	seed/13-dock-scheduling-rules-2026.md	ext/sibling/00026-hours.md	ext/sibling/00033-sop.md
g013	rung-00500	weak	true	ext/sibling/00446-hours.md	ext/sibling/00376-hours.md	ext/sibling/00096-hours.md	ext/sibling/00166-hours.md	seed/13-dock-scheduling-rules-2026.md
g013	rung-01000	weak	true	ext/sibling/00446-hours.md	ext/sibling/00796-hours.md	ext/sibling/00376-hours.md	ext/sibling/00096-hours.md	ext/sibling/00656-hours.md
g014	rung-seed	weak	true	seed/13-dock-scheduling-rules-2026.md	seed/03-postmortem-nagpur-vaccine-excursion.md	seed/01-sop-temperature-excursion.md	seed/14-customer-notification-matrix-2025.md	seed/15-customer-notification-matrix-2026.md
g014	rung-00100	grounded	true	ext/sibling/00036-notification.md	ext/adjacent/a13-halberd-insurance-claim.eml	ext/sibling/00050-notification.md	ext/sibling/00023-notification.md	ext/sibling/00029-notification.md
g014	rung-00200	grounded	true	ext/sibling/00036-notification.md	ext/adjacent/a13-halberd-insurance-claim.eml	ext/sibling/00143-notification.md	ext/sibling/00050-notification.md	ext/sibling/00023-notification.md
g014	rung-00500	weak	true	ext/sibling/00323-notification.md	ext/sibling/00036-notification.md	ext/sibling/00203-notification.md	ext/sibling/00269-notification.md	ext/adjacent/a13-halberd-insurance-claim.eml
g014	rung-01000	weak	true	ext/sibling/00590-notification.md	ext/sibling/00323-notification.md	ext/sibling/00036-notification.md	ext/sibling/00869-notification.md	ext/sibling/00563-notification.md
g015	rung-seed	grounded	true	seed/06-re-fw-telematics-cutover.eml	seed/11-decision-telematics-vendor-2026.md	seed/02-sensor-thresholds.yaml	seed/05-decision-telematics-vendor-2023.md	seed/04-night-shift-handover-log.txt
g015	rung-00100	grounded	true	seed/06-re-fw-telematics-cutover.eml	seed/11-decision-telematics-vendor-2026.md	seed/02-sensor-thresholds.yaml	ext/adjacent/a09-marrowbeck-ammonia-facilities.md	seed/05-decision-telematics-vendor-2023.md
g015	rung-00200	grounded	true	seed/06-re-fw-telematics-cutover.eml	seed/11-decision-telematics-vendor-2026.md	seed/02-sensor-thresholds.yaml	ext/adjacent/a09-marrowbeck-ammonia-facilities.md	seed/05-decision-telematics-vendor-2023.md
g015	rung-00500	grounded	true	seed/06-re-fw-telematics-cutover.eml	seed/11-decision-telematics-vendor-2026.md	seed/02-sensor-thresholds.yaml	ext/adjacent/a09-marrowbeck-ammonia-facilities.md	seed/05-decision-telematics-vendor-2023.md
g015	rung-01000	grounded	true	seed/06-re-fw-telematics-cutover.eml	seed/11-decision-telematics-vendor-2026.md	seed/02-sensor-thresholds.yaml	ext/adjacent/a09-marrowbeck-ammonia-facilities.md	seed/05-decision-telematics-vendor-2023.md
g016	rung-seed	partial	true	seed/08-driver-hours-and-safety-policy.md	seed/03-postmortem-nagpur-vaccine-excursion.md	seed/04-night-shift-handover-log.txt	seed/01-sop-temperature-excursion.md	seed/09-dock-scheduling-wiki-export.html
g016	rung-00100	grounded	true	ext/filler/a17-beekeeping-minutes.md	ext/filler/a16-ward-notice.html	ext/archive/00035-notification-retired.md	ext/archive/00005-decision-retired.md	ext/archive/00015-ratecard-retired.md
g016	rung-00200	weak	true	ext/filler/a17-beekeeping-minutes.md	ext/filler/a16-ward-notice.html	ext/sibling/a04-okapi-night-handover.txt	seed/08-driver-hours-and-safety-policy.md	seed/04-night-shift-handover-log.txt
g016	rung-00500	weak	true	ext/filler/a16-ward-notice.html	ext/filler/a17-beekeeping-minutes.md	ext/sibling/a04-okapi-night-handover.txt	seed/04-night-shift-handover-log.txt	seed/08-driver-hours-and-safety-policy.md
g016	rung-01000	weak	true	ext/filler/a16-ward-notice.html	ext/filler/a17-beekeeping-minutes.md	seed/04-night-shift-handover-log.txt	ext/sibling/a04-okapi-night-handover.txt	seed/08-driver-hours-and-safety-policy.md
g017	rung-seed	partial	true	seed/04-night-shift-handover-log.txt	seed/09-dock-scheduling-wiki-export.html	seed/05-decision-telematics-vendor-2023.md	seed/03-postmortem-nagpur-vaccine-excursion.md	seed/10-new-joiner-faq.md
g017	rung-00100	partial	true	ext/filler/a17-beekeeping-minutes.md	ext/filler/00052-bicycle.txt	ext/filler/00058-bicycle.txt	ext/sibling/a05-norvell-telematics-decision-2026.md	ext/filler/00028-release-notes.md
g017	rung-00200	partial	true	ext/filler/a17-beekeeping-minutes.md	ext/filler/00052-bicycle.txt	ext/filler/00118-bicycle.txt	ext/filler/00112-bicycle.txt	ext/filler/00058-bicycle.txt
g017	rung-00500	partial	true	ext/filler/a17-beekeeping-minutes.md	ext/sibling/a05-norvell-telematics-decision-2026.md	ext/adjacent/a11-petrichor-hr-leave.md	ext/filler/00412-bicycle.txt	ext/filler/00238-bicycle.txt
g017	rung-01000	partial	true	ext/filler/a17-beekeeping-minutes.md	ext/adjacent/a11-petrichor-hr-leave.md	ext/adjacent/a10-vantorix-it-access.md	ext/sibling/a05-norvell-telematics-decision-2026.md	seed/09-dock-scheduling-wiki-export.html
g018	rung-seed	partial	true	seed/archive/a02-kalpa-alert-routing-guide-2021.md	seed/04-night-shift-handover-log.txt	seed/13-dock-scheduling-rules-2026.md	seed/01-sop-temperature-excursion.md	seed/08-driver-hours-and-safety-policy.md
g018	rung-00100	partial	true	seed/archive/a02-kalpa-alert-routing-guide-2021.md	seed/04-night-shift-handover-log.txt	ext/filler/00042-chess.md	ext/filler/00048-chess.md	ext/sibling/a08-sundari-notification-matrix.md
g018	rung-00200	partial	true	seed/archive/a02-kalpa-alert-routing-guide-2021.md	seed/04-night-shift-handover-log.txt	seed/01-sop-temperature-excursion.md	ext/sibling/a08-sundari-notification-matrix.md	ext/filler/00108-chess.md
g018	rung-00500	partial	true	seed/archive/a02-kalpa-alert-routing-guide-2021.md	seed/04-night-shift-handover-log.txt	seed/01-sop-temperature-excursion.md	seed/10-new-joiner-faq.md	ext/sibling/a04-okapi-night-handover.txt
g018	rung-01000	partial	true	seed/archive/a02-kalpa-alert-routing-guide-2021.md	seed/04-night-shift-handover-log.txt	seed/10-new-joiner-faq.md	seed/01-sop-temperature-excursion.md	ext/sibling/a04-okapi-night-handover.txt
g019	rung-seed	partial	true	seed/01-sop-temperature-excursion.md	seed/archive/a01-sop-temperature-excursion-rev2.md	seed/08-driver-hours-and-safety-policy.md	seed/11-decision-telematics-vendor-2026.md	seed/04-night-shift-handover-log.txt
g019	rung-00100	weak	true	ext/sibling/00033-sop.md	ext/sibling/00046-quarantine.md	ext/sibling/00039-sop.md	ext/sibling/00000-sop.md	ext/sibling/00056-sop.md
g019	rung-00200	weak	true	ext/sibling/00033-sop.md	ext/sibling/00046-quarantine.md	ext/sibling/00060-sop.md	ext/sibling/00120-sop.md	ext/sibling/00126-sop.md
g019	rung-00500	weak	true	ext/sibling/00033-sop.md	ext/sibling/00219-sop.md	ext/sibling/00046-quarantine.md	ext/sibling/00300-sop.md	ext/sibling/00406-sop.md
g019	rung-01000	weak	true	ext/sibling/00033-sop.md	ext/sibling/00219-sop.md	ext/sibling/00933-sop.md	ext/sibling/00046-quarantine.md	ext/sibling/00300-sop.md
g020	rung-seed	partial	true	seed/09-dock-scheduling-wiki-export.html	seed/13-dock-scheduling-rules-2026.md	seed/04-night-shift-handover-log.txt	seed/10-new-joiner-faq.md	seed/08-driver-hours-and-safety-policy.md
g020	rung-00100	partial	true	seed/09-dock-scheduling-wiki-export.html	seed/13-dock-scheduling-rules-2026.md	seed/10-new-joiner-faq.md	ext/sibling/00013-dockwiki.html	ext/sibling/00040-dockwiki.html
g020	rung-00200	partial	true	seed/09-dock-scheduling-wiki-export.html	seed/13-dock-scheduling-rules-2026.md	seed/10-new-joiner-faq.md	ext/sibling/00100-dockwiki.html	ext/sibling/00139-dockwiki.html
g020	rung-00500	partial	true	seed/09-dock-scheduling-wiki-export.html	seed/10-new-joiner-faq.md	seed/13-dock-scheduling-rules-2026.md	ext/sibling/00379-dockwiki.html	ext/sibling/00100-dockwiki.html
g020	rung-01000	partial	true	seed/09-dock-scheduling-wiki-export.html	seed/10-new-joiner-faq.md	seed/13-dock-scheduling-rules-2026.md	ext/sibling/00379-dockwiki.html	ext/sibling/00859-dockwiki.html
g021	rung-seed	partial	true	seed/01-sop-temperature-excursion.md	seed/03-postmortem-nagpur-vaccine-excursion.md	seed/08-driver-hours-and-safety-policy.md	seed/archive/a01-sop-temperature-excursion-rev2.md	seed/14-customer-notification-matrix-2025.md
g021	rung-00100	partial	true	ext/sibling/00046-quarantine.md	ext/sibling/a01-marrowbeck-excursion-sop.md	seed/01-sop-temperature-excursion.md	seed/03-postmortem-nagpur-vaccine-excursion.md	ext/sibling/00033-sop.md
g021	rung-00200	partial	true	ext/sibling/00126-sop.md	ext/sibling/00046-quarantine.md	ext/sibling/a01-marrowbeck-excursion-sop.md	seed/01-sop-temperature-excursion.md	seed/03-postmortem-nagpur-vaccine-excursion.md
g021	rung-00500	partial	true	ext/sibling/00346-postmortem.md	ext/sibling/00276-postmortem.md	ext/sibling/00283-postmortem.md	ext/sibling/00453-sop.md	ext/sibling/00126-sop.md
g021	rung-01000	partial	true	ext/sibling/00550-postmortem.md	ext/sibling/00346-postmortem.md	ext/sibling/00276-postmortem.md	ext/sibling/00529-postmortem.md	ext/sibling/00283-postmortem.md
g022	rung-seed	grounded	true	seed/10-new-joiner-faq.md	seed/01-sop-temperature-excursion.md	seed/08-driver-hours-and-safety-policy.md	seed/archive/a04-driver-hours-policy-2019.md	seed/05-decision-telematics-vendor-2023.md
g022	rung-00100	grounded	true	seed/10-new-joiner-faq.md	seed/08-driver-hours-and-safety-policy.md	seed/archive/a04-driver-hours-policy-2019.md	ext/filler/00008-syllabus.md	ext/filler/00002-syllabus.md
g022	rung-00200	grounded	true	seed/10-new-joiner-faq.md	seed/08-driver-hours-and-safety-policy.md	seed/archive/a04-driver-hours-policy-2019.md	ext/sibling/00106-notification.md	ext/sibling/00029-notification.md
g022	rung-00500	grounded	true	seed/10-new-joiner-faq.md	seed/08-driver-hours-and-safety-policy.md	seed/archive/a04-driver-hours-policy-2019.md	ext/sibling/00106-notification.md	ext/sibling/00029-notification.md
g022	rung-01000	grounded	true	seed/10-new-joiner-faq.md	seed/08-driver-hours-and-safety-policy.md	seed/archive/a04-driver-hours-policy-2019.md	ext/sibling/00106-notification.md	ext/sibling/00029-notification.md
g023	rung-seed	weak	true	seed/10-new-joiner-faq.md	seed/09-dock-scheduling-wiki-export.html	seed/04-night-shift-handover-log.txt	seed/13-dock-scheduling-rules-2026.md	seed/archive/a03-dock-scheduling-wiki-2021.html
g023	rung-00100	weak	true	seed/09-dock-scheduling-wiki-export.html	seed/10-new-joiner-faq.md	ext/sibling/a07-halberd-dock-wiki.html	seed/13-dock-scheduling-rules-2026.md	seed/04-night-shift-handover-log.txt
g023	rung-00200	grounded	true	seed/09-dock-scheduling-wiki-export.html	seed/10-new-joiner-faq.md	seed/13-dock-scheduling-rules-2026.md	ext/sibling/a07-halberd-dock-wiki.html	seed/04-night-shift-handover-log.txt
g023	rung-00500	grounded	true	seed/09-dock-scheduling-wiki-export.html	seed/10-new-joiner-faq.md	seed/13-dock-scheduling-rules-2026.md	ext/sibling/a07-halberd-dock-wiki.html	seed/04-night-shift-handover-log.txt
g023	rung-01000	grounded	true	seed/09-dock-scheduling-wiki-export.html	seed/10-new-joiner-faq.md	seed/13-dock-scheduling-rules-2026.md	ext/sibling/a07-halberd-dock-wiki.html	seed/04-night-shift-handover-log.txt
g024	rung-seed	weak	true	seed/10-new-joiner-faq.md	seed/archive/a05-induction-checklist-2020.txt	seed/11-decision-telematics-vendor-2026.md	seed/13-dock-scheduling-rules-2026.md	seed/04-night-shift-handover-log.txt
g024	rung-00100	weak	true	seed/10-new-joiner-faq.md	seed/archive/a05-induction-checklist-2020.txt	seed/03-postmortem-nagpur-vaccine-excursion.md	seed/02-sensor-thresholds.yaml	seed/11-decision-telematics-vendor-2026.md
g024	rung-00200	weak	true	ext/sibling/00060-sop.md	seed/03-postmortem-nagpur-vaccine-excursion.md	seed/archive/a05-induction-checklist-2020.txt	seed/10-new-joiner-faq.md	seed/02-sensor-thresholds.yaml
g024	rung-00500	grounded	true	ext/sibling/00229-postmortem.md	seed/03-postmortem-nagpur-vaccine-excursion.md	ext/sibling/00060-sop.md	seed/archive/a05-induction-checklist-2020.txt	seed/10-new-joiner-faq.md
g024	rung-01000	grounded	true	ext/sibling/00229-postmortem.md	seed/03-postmortem-nagpur-vaccine-excursion.md	seed/archive/a05-induction-checklist-2020.txt	ext/sibling/00060-sop.md	seed/10-new-joiner-faq.md
g025	rung-seed	weak	true	seed/04-night-shift-handover-log.txt	seed/10-new-joiner-faq.md	seed/01-sop-temperature-excursion.md	seed/02-sensor-thresholds.yaml	seed/05-decision-telematics-vendor-2023.md
g025	rung-00100	grounded	true	ext/sibling/a02-vantorix-sensor-thresholds.yaml	seed/10-new-joiner-faq.md	seed/04-night-shift-handover-log.txt	ext/sibling/00033-sop.md	ext/sibling/00046-quarantine.md
g025	rung-00200	weak	true	ext/sibling/a02-vantorix-sensor-thresholds.yaml	seed/10-new-joiner-faq.md	seed/04-night-shift-handover-log.txt	ext/sibling/00033-sop.md	ext/sibling/00046-quarantine.md
