query,n_docs,n_scores_differing,top5_same_exact,top5_same_round9
"contain",42,0,1,1
"contradictori",3,0,1,1
"core",18,0,1,1
"correct",59,0,1,1
"cpp",1,0,1,1
"cri",2,0,1,1
"cronen",2,0,1,1
"crowd",3,0,1,1
"crude",2,0,1,1
"cursor",2,0,1,1
"cutoff",4,0,1,1
"d3",1,0,1,1
"d3cd187",1,0,1,1
"daemonsweepterm",1,0,1,1
"dcc",1,0,1,1
"dedic",3,0,1,1
"dedupl",2,0,1,1
"deep",4,0,1,1
"def",12,0,1,1
"defer",20,0,1,1
"deliveri",2,0,1,1
"deserv",3,0,1,1
"detector",5,0,1,1
"devop",1,0,1,1
"devtool",6,0,1,1
"diagnost",13,0,1,1
"difficulti",4,0,1,1
"ding",5,0,1,1
"disambigu",4,0,1,1
"dismantl",1,0,1,1
"displai",31,0,1,1
"displaycach",6,0,1,1
"disprov",6,0,1,1
"distanc",3,0,1,1
"distilbert",1,0,1,1
"django",4,0,1,1
"doc_registry",93,61,1,1
"document",94,0,1,1
"dont",2,0,1,1
"download",10,0,1,1
"dst",3,0,1,1
"dtype",2,0,1,1
"duti",3,0,1,1
"ecir",1,0,1,1
"ecma",1,0,1,1
"em",2,0,1,1
"emb",7,0,1,1
"enclos",1,0,1,1
"encycloped",1,0,1,1
"entiti",2,0,1,1
"entra",2,0,1,1
"entry_size",67,0,1,1
"essenti",3,0,1,1
"everywher",1,0,1,1
"evidenti",2,0,1,1
"exaclust",1,0,1,1
"exist",88,0,1,1
"existing_urls",92,0,1,1
"expand_bench",32,0,1,1
"exposur",13,0,1,1
"extrapol",3,0,1,1
"face",15,0,1,1
"fact",52,0,1,1
"fals",1,0,1,1
"favor",2,0,1,1
"feed",17,0,1,1
"fell",8,0,1,1
"fetcher",44,0,1,1
"fi",1,0,1,1
"fig1",1,0,1,1
"finer",2,0,1,1
"focu",2,0,1,1
"forc",35,0,1,1
"forg",2,0,1,1
"form",46,0,1,1
"fourth",25,0,1,1
"fr940104",1,0,1,1
"fuse",15,0,1,1
"fux_search",97,0,1,1
"g",18,0,1,1
"gc",1,0,1,1
"gcc",2,0,1,1
"gem",3,0,1,1
"gi",2,0,1,1
"gitattribut",7,0,1,1
"gospodinov",1,0,1,1
"gpg",2,0,1,1
"grafana",1,0,1,1
"grounded",77,0,1,1
"hal",1,0,1,1
"hand",60,0,1,1
"happen",52,0,1,1
"headroom",11,0,1,1
"help",15,0,1,1
"herscovici",3,0,1,1
"hf",1,0,1,1
"hold",70,0,1,1
"hook",26,0,1,1
"hunk",5,0,1,1
"hyperfin",2,0,1,1
"idempot",7,0,1,1
"ieee",2,0,1,1
"illeg",10,0,1,1
"imagedoc",3,0,1,1
"implaus",1,0,1,1
"import",54,0,1,1
"inact",2,0,1,1
"inapplic",1,0,1,1
"incomplet",8,0,1,1
"inequ",2,0,1,1
"info",8,0,1,1
"inform",33,0,1,1
"inherit",15,0,1,1
"inidoc",2,0,1,1
"inject",10,0,1,1
"instal",30,0,1,1
"insur",2,0,1,1
"inter_op_num_threads",33,0,1,1
"interv",7,0,1,1
"invalid",24,0,1,1
"invari",18,0,1,1
"invers",1,0,1,1
"ipsum",1,0,1,1
"jagerman",3,0,1,1
"jira",4,0,1,1
"jsonlin",2,0,1,1
"justif",7,0,1,1
"kernel",6,0,1,1
"l262",1,0,1,1
"l292",1,0,1,1
"l3",43,0,1,1
"l4",37,0,1,1
"l40",7,0,1,1
"l6",10,0,1,1
"l756",1,0,1,1
"l94",1,0,1,1
"last",41,0,1,1
"launder",1,0,1,1
"lean_searcher",17,0,1,1
"learn",29,0,1,1
"legitim",21,0,1,1
"len",8,0,1,1
"leverag",2,0,1,1
"lexicograph",2,0,1,1
"line_end",83,0,1,1
"lipani",1,0,1,1
"lipani2018",1,0,1,1
"list",80,0,1,1
"load_output",85,0,1,1
"logic",9,0,1,1
"logo",4,0,1,1
"louder",2,0,1,1
"lowercas",1,0,1,1
"macdonald",1,0,1,1
"machineri",11,0,1,1
"mackenzi",2,0,1,1
"major",18,0,1,1
"mangl",2,0,1,1
"manifest",17,0,1,1
"manipul",1,0,1,1
"market",4,0,1,1
"math",6,0,1,1
"max_sweeps",57,0,1,1
"merge_shards",54,0,1,1
"methodolog",1,0,1,1
"metric",11,0,1,1
"metzler",1,0,1,1
"michael",3,0,1,1
"microsoft",6,0,1,1
"misconfig",2,0,1,1
"modern",2,0,1,1
"modulo",2,0,1,1
"monei",7,0,1,1
"monthli",1,0,1,1
"mst",6,0,1,1
"mutex",7,0,1,1
"n",69,58,1,1
"nacl",2,0,1,1
"naiv",6,0,1,1
"nan",1,0,1,1
"narrowest",2,0,1,1
"nativ",8,0,1,1
"nearli",10,0,1,1
"necess",2,0,1,1
"newer",5,0,1,1
"newest",11,0,1,1
"newest_mtime",30,0,1,1
"no_user",98,0,1,1
"nondetermin",1,0,1,1
"nonetyp",1,0,1,1
"nope",2,0,1,1
"normalize_embeddings",24,0,1,1
"officedocu",3,0,1,1
"on",0,0,1,1
"only_urls",95,0,1,1
"open",78,0,1,1
"openprocess",2,0,1,1
"oscil",2,0,1,1
"outbound",2,0,1,1
"outerhtml",4,0,1,1
"overcom",5,0,1,1
"overhead",4,0,1,1
"overlap",11,0,1,1
"overnight",1,0,1,1
"overst",4,0,1,1
"own",86,0,1,1
"p0",5,0,1,1
"p3",9,0,1,1
"packag",25,0,1,1
"pai",23,0,1,1
"paradigm",3,0,1,1
"parameter",16,0,1,1
"particular",10,0,1,1
"past",33,0,1,1
"payloadtyp",2,0,1,1
"phenomena",4,0,1,1
"plateau",4,0,1,1
"player",1,0,1,1
"polit",6,0,1,1
"poll",2,0,1,1
"pollut",1,0,1,1
"pool",18,0,1,1
"portalock",3,0,1,1
"pptx",6,0,1,1
"pr",7,0,1,1
"prior",39,0,1,1
"priorit",3,0,1,1
"prioriti",20,0,1,1
"process",27,0,1,1
"pseudo",3,0,1,1
"pure",27,0,1,1
"put",61,0,1,1
"pyproject",7,0,1,1
"q004",2,0,1,1
"q020",4,0,1,1
"q041",1,0,1,1
"q043",1,0,1,1
"qu",2,0,1,1
"quantiz",5,0,1,1
"quotabl",1,0,1,1
"quotepath",1,0,1,1
"qvec",3,0,1,1
"r",56,0,1,1
"r7a",1,0,1,1
"rais",1,0,1,1
"ramp",4,0,1,1
"ran",29,0,1,1
"ranklib",2,0,1,1
"ranx",1,0,1,1
"read_urls",97,0,1,1
"receipt_derivation",74,0,1,1
"recognis",1,0,1,1
"recon",2,0,1,1
"reduc",15,0,1,1
"refil",1,0,1,1
"regul",4,0,1,1
"regular",2,0,1,1
"reinstat",2,0,1,1
"reintroduc",8,0,1,1
"reinvent",3,0,1,1
"rel_path",88,0,1,1
"relevance_annotation",34,0,1,1
"remain",34,0,1,1
"rememb",25,0,1,1
"renam",26,0,1,1
"rep1",1,0,1,1
"repair",14,0,1,1
"repositori",28,0,1,1
"reprobla",1,0,1,1
"resal",1,0,1,1
"reseal",2,0,1,1
"respecifi",2,0,1,1
"revis",1,0,1,1
"rfc6455",3,0,1,1
"rglob",1,0,1,1
"rigor",4,0,1,1
"risk",21,0,1,1
"rmw",1,0,1,1
"rollout",2,0,1,1
"roomier",2,0,1,1
"s0957417425020792",2,0,1,1
"s_full",46,0,1,1
"said",49,0,1,1
"scheme",8,0,1,1
"scm",9,0,1,1
"seat",4,0,1,1
"self",18,0,1,1
"separation_floor",60,0,1,1
"seri",7,0,1,1
"serial",4,0,1,1
"serv",24,0,1,1
"sha1",2,0,1,1
"shapbot",2,0,1,1
"shard_path",91,0,1,1
"sharepoint",5,0,1,1
"sharper",8,0,1,1
"shortcut",3,0,1,1
"signal",33,0,1,1
"sii",2,0,1,1
"simul",1,0,1,1
"skew",2,0,1,1
"skipnotic",1,0,1,1
"smoke_urls",56,0,1,1
"smucker",1,0,1,1
"snake_case",59,0,1,1
"sniff",3,0,1,1
"snippet",3,0,1,1
"soffer",3,0,1,1
"sound",7,0,1,1
"source_sha",91,0,1,1
"spine_diag",3,0,1,1
"sqlite",7,0,1,1
"st_size",48,0,1,1
"stabil",7,0,1,1
"stage",18,0,1,1
"standardis",1,0,1,1
"stanford",2,0,1,1
"stderr",20,0,1,1
"stdin",8,0,1,1
"stretch",4,0,1,1
"submiss",1,0,1,1
"substant",9,0,1,1
"subtre",1,0,1,1
"succe",1,0,1,1
"suffix",8,0,1,1
"supersess",21,0,1,1
"suppos",1,0,1,1
"suscept",7,0,1,1
"suspici",3,0,1,1
"svore",1,0,1,1
"swap",7,0,1,1
"sweepabl",2,0,1,1
"synchronis",1,0,1,1
"t00",1,0,1,1
"t1",29,0,1,1
"t16",1,0,1,1
"target_first",91,0,1,1
"tast",7,0,1,1
"tavili",2,0,1,1
"taylor",4,0,1,1
"teach",11,0,1,1
"tech",3,0,1,1
"ted",4,0,1,1
"tenant",6,0,1,1
"tesseract",3,0,1,1
"test_adr_owns_consistency",98,0,1,1
"test_no_shadowed_submodules",99,0,1,1
"test_provenance",84,0,1,1
"test_run",93,0,1,1
"test_schemas",87,0,1,1
"test_setup",83,0,1,1
"test_setup_docs",96,28,1,1
"test_the_graph_lane_does_not_move_ask",100,12,1,1
"test_the_output_schema_carries_the_sixth_verdict",99,0,1,1
"test_tune",86,0,1,1
"test_unreadable_document",99,0,1,1
"test_weighted_bound",92,0,1,1
"tests_e2e",83,0,1,1
"tgz",2,0,1,1
"than",93,80,1,1
"thinli",2,0,1,1
"thought",4,0,1,1
"throw",7,0,1,1
"thrown",7,0,1,1
"time",69,59,1,1
"timeout",13,0,1,1
"timestamp",21,0,1,1
"told",14,0,1,1
"top",52,0,1,1
"topic",10,0,1,1
"tr",2,0,1,1
"transcrib",3,0,1,1
"treat",27,0,1,1
"trec",8,0,1,1
"trial",2,0,1,1
"ttl",26,0,1,1
"twice",38,1,1,1
"uid",2,0,1,1
"uncach",6,0,1,1
"uncalibr",2,0,1,1
"underserv",1,0,1,1
"unescap",2,0,1,1
"unfinish",3,0,1,1
"unicodeencodeerror",3,0,1,1
"uninstal",1,0,1,1
"uninterpret",1,0,1,1
"univers",1,0,1,1
"unlazi",2,0,1,1
"unlink",3,0,1,1
"unmut",3,0,1,1
"unnumb",2,0,1,1
"unopinion",2,0,1,1
"unrecord",3,0,1,1
"unregist",5,0,1,1
"unremark",1,0,1,1
"unsay",1,0,1,1
"unseen",8,0,1,1
"unsolv",1,0,1,1
"unstat",4,0,1,1
"untun",3,0,1,1
"uri",2,0,1,1
"urlopen",6,0,1,1
"urls_file",90,0,1,1
"userpromptsubmit",3,0,1,1
"utf8",3,0,1,1
"v0",18,0,1,1
"v3",6,0,1,1
"validated_at",37,0,1,1
"variat",2,0,1,1
"ve",5,0,1,1
"version_info",46,0,1,1
"victim",2,0,1,1
"view",7,0,1,1
"viewer",4,0,1,1
"visit",3,0,1,1
"vocab",1,0,1,1
"w8",2,0,1,1
"waiv",4,0,1,1
"walker",10,0,1,1
"wasm",1,0,1,1
"wave",3,0,1,1
"went",27,0,1,1
"wider",9,0,1,1
"wit",2,0,1,1
"wl",4,0,1,1
"worker",5,0,1,1
"would_index",99,0,1,1
"write_corpus",92,42,1,1
"writeup",1,0,1,1
"wrong",80,0,1,1
"ww",2,0,1,1
"x8",3,0,1,1
"x86",8,0,1,1
"xx",6,0,1,1
"y",12,0,1,1
"your",0,0,1,1
"yyyi",4,0,1,1
"zhuang",2,0,1,1
